"Case","Region","Case_Name","Date_Filed","Date_Closed","City","State","Unit ID","Tally_Date","Num_Eligible_Voters","Void Ballots","Labor_Union","Votes_For_Union","Labor Union2","Votes for Labor Union2","Labor Union3","Votes for Labor Union3","Votes_Against","Total_Ballots_Counted","Runoff Required","Challenged Ballots","Challenges are Determinative","Union to Certify","Tally_Type","Ballot_Type","Reason_Closed","Status","Voting Unit (Unit A)","Voting Unit (Unit B)","Voting Unit (Unit C)","Voting Unit (Unit D)","Length","Tally_Quarter","Filed_Quarter","size","Unique","Case_Type","Election_Data","Plot_Labor_Union","National_Count","National","Margin","Union_Cer","Didnt_Vote"
"06-RC-392467","Region 06, Pittsburgh, Pennsylvania","Peoples Natural Gas Company, LLC",2026-08-07,NA,"Pittsburgh","PA",NA,NA,5,NA,"Utility Workers Union of America, AFL-CIO, Local 612",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Open",NA,NA,NA,NA,NA,NA,2026-07-01,"<5",TRUE,"RC","No","Utility Workers Union of America, AFL-CIO, Local 612",1,"UWUA",NA,"Still Open",NA
"06-RC-389428","Region 06, Pittsburgh, Pennsylvania","NAES Corporation",2026-06-25,2026-08-03,"New Castle","PA","A",2026-07-24,18,NA,"Utility Workers Union of America, AFL-CIO",9,NA,NA,NA,NA,8,17,NA,NA,NA,"Utility Workers Union of America, AFL-CIO","Initial","Single Labor Organization","Certific. of Representative","Closed","Included: All full-time and regular part-time Operations & Maintenance Technicians, Control Room Operators, Operations Coordinators, Maintenance Technicians, Maintenance Leads, IC&E Technicians, and IC&E Leads at Employer’s facility located at 4900 Edinburgh Rd., New Castle, PA 16102.

Excluded: Managerial Employees, Confidential Employees, Professional Employees, Guards and Supervisors as defined by and within the meaning of the Act and all other employees.",NA,NA,NA,29,2026-07-01,2026-04-01,"11-25",TRUE,"RC","Yes","Utility Workers Union of America, AFL-CIO",1,"UWUA",0.529411764705882,"Yes",1
"06-RC-387586","Region 06, Pittsburgh, Pennsylvania","PNG Companies, LLC",2026-05-26,2026-07-09,"Pittsburgh","PA","A",2026-06-30,5,NA,"Utility Workers Union of America, AFL-CIO, Local 612",5,NA,NA,NA,NA,0,5,NA,NA,NA,"Utility Workers Union of America, AFL-CIO, Local 612","Initial","Single Labor Organization","Certific. of Representative","Closed","Included:
All Telecom Department Technician Employees

Excluded:
Confidential secretaries, executives, and guards, and professional employees and supervisors as defined by Act.",NA,NA,NA,35,2026-04-01,2026-04-01,"<5",TRUE,"RC","Yes","Utility Workers Union of America, AFL-CIO, Local 612",1,"UWUA",1,"Yes",0
"07-RC-387764","Region 07, Detroit, Michigan","DTE Electric Company",2026-05-20,NA,"Newport","MI",NA,NA,12,NA,"Local 223, Utility Workers Union of America (UWUA), AFL-CIO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Open",NA,NA,NA,NA,NA,NA,2026-04-01,"11-25",TRUE,"RC","No","Local 223, Utility Workers Union of America (UWUA), AFL-CIO",1,"UWUA",NA,"Still Open",NA
"08-RD-384447","Region 08, Cleveland, Ohio","Carroll Electric Cooperative, Inc.",2026-04-07,2026-05-07,"Carrollton","OH","A",2026-04-28,16,NA,"Utility Workers Union of America, AFL-CIO",2,NA,NA,NA,NA,13,15,NA,NA,NA,NA,"Initial","Single Labor Organization","Certification of Results","Closed","All full-time and regular part-time first-class linemen, crew leader/first-class linemen, apprentice linemen, staking engineers, meter technicians, meter readers, warehouse coordinators and vehicle mechanics employed by the Employer at and out of its facility located at 350 Canton Road, NW, Carrollton, Ohio, but excluding all other employees, managerial employees, professional employees, guards and supervisors as defined in the Act.",NA,NA,NA,21,2026-04-01,2026-04-01,"11-25",TRUE,"RD","Yes","Utility Workers Union of America, AFL-CIO",1,"UWUA",0.133333333333333,"No",1
"22-RM-381386","Region 22, Newark, New Jersey","VEOLIA WATER NEW JERSEY, INC.",2026-02-19,2026-03-25,"Lambertville","NJ","A",2026-03-17,4,NA,"UTILITY WORKERS UNION OF AMERICA, AFL-CIO, LOCAL 503",4,NA,NA,NA,NA,0,4,NA,NA,NA,"UTILITY WORKERS UNION OF AMERICA, AFL-CIO, LOCAL 503","Initial","Single Labor Organization","Certific. of Representative","Closed","INCLUDING: All full-time and regular part-time plant operators, field service employees, operations and maintenance technicians (O&M) and senior operations and maintenance technicians (Sr. O&M) employed by the Employer at 765 Brunswick Pike, Lambertville, New Jersey facility. 

EXCLUDING: All office clerical employees, managerial employees, guards, professional employees and supervisors as defined in the Act, and all other employees.",NA,NA,NA,26,2026-01-01,2026-01-01,"<5",TRUE,"RM","Yes","UTILITY WORKERS UNION OF AMERICA, AFL-CIO, LOCAL 503",1,"UWUA",1,"Yes",0
"27-RC-379993","Region 27, Denver, Colorado","Quester Gas Company d/b/a Enbridge Gas Utah",2026-01-28,2026-03-03,"Salt Lake City","UT","A",2026-02-19,11,NA,"Utility Workers Union of America, AFL-CIO",6,NA,NA,NA,NA,4,10,NA,NA,NA,"Utility Workers Union of America, AFL-CIO","Initial","Single Labor Organization","Certific. of Representative","Closed","Included: All full-time and regular part-time LNG Technician I, LNG Technician II, LNG Technician 
Ill, and LNG Technician IV employed by the Employer at its Magna, UT facility.

Excluded: All office clerical employees, professional employees, managerial employees, guards, and 
supervisors, as defined in the Act, and all other employees.",NA,NA,NA,22,2026-01-01,2026-01-01,"11-25",TRUE,"RC","Yes","Utility Workers Union of America, AFL-CIO",1,"UWUA",0.6,"Yes",1
"22-RC-377656","Region 22, Newark, New Jersey","ELIZABETHTOWN GAS COMPANY",2025-12-22,2026-02-12,"Stewartsville","NJ","A",2026-01-30,15,NA,"UTILITY WORKERS UNION OF AMERICA, AFL-CIO, LOCAL 424",11,NA,NA,NA,NA,2,13,NA,NA,NA,"UTILITY WORKERS UNION OF AMERICA, AFL-CIO, LOCAL 424","Initial","Single Labor Organization","Certific. of Representative","Closed","INCLUDED:  	All full-time and regular part-time Construction Operations Administrator Seniors employed in the Construction Operations Department by the Employer at its facilities located at 520 Green Lane, Union, New Jersey, and 148 Edison Road, Stewartsville, New Jersey. 

EXCLUDED:  	All Office Clerical Employees, Confidential Employees, Guards, Professional Employees and Supervisors as defined in the Act, and all other employees.",NA,NA,NA,39,2026-01-01,2025-10-01,"11-25",TRUE,"RC","Yes","UTILITY WORKERS UNION OF AMERICA, AFL-CIO, LOCAL 424",1,"UWUA",0.846153846153846,"Yes",2
"22-RC-377416","Region 22, Newark, New Jersey","Elizabethtown Gas Company",2025-12-17,2026-02-12,"Hammonton","NJ","A",2026-01-21,3,NA,"Utility Workers Union of America, Local 424",3,NA,NA,NA,NA,0,3,NA,NA,NA,"Utility Workers Union of America, Local 424","Initial","Single Labor Organization","Certific. of Representative","Closed","INCLUDED:  	All Full-Time and Regular Part-Time Damage Prevention Technician 1, Damage Prevention Technician 2, Damage Prevention Technician 3, and Damage Prevention Technician 4 employed by the Employer at its 520 Green Lane, Union, New Jersey facility.
EXCLUDED:  	All Office Clerical Employees, Confidential Employees, Guards, Professional Employees and Supervisors as defined in the Act, and all other employees.",NA,NA,NA,35,2026-01-01,2025-10-01,"<5",TRUE,"RC","Yes","Utility Workers Union of America, Local 424",1,"UWUA",1,"Yes",0
"01-RC-368478","Region 01, Boston, Massachusetts","Maine Natural Gas Corp.",2025-07-01,2025-07-24,"Brunswick","ME","A",2025-07-16,8,NA,"Utility Workers Union of America, AFL-CIO",8,NA,NA,NA,NA,0,8,NA,NA,NA,"Utility Workers Union of America, AFL-CIO","Initial","Single Labor Organization","Certific. of Representative","Closed","All full-time and regular part-time Lead Natural Gas Technicians, Gas Technicians, Associate Gas Technicians and Service Technicians employed by the Employer at its Brunswick, ME and Augusta, ME facilities; but excluding office clerical employees, confidential employees, managers, guards, professional employees and supervisors as defined in the Act.",NA,NA,NA,15,2025-07-01,2025-07-01,"6-10",TRUE,"RC","Yes","Utility Workers Union of America, AFL-CIO",1,"UWUA",1,"Yes",0
"22-RC-366926","Region 22, Newark, New Jersey","Elizabethtown Gas Company",2025-06-04,2025-08-12,"Union","NJ","A",2025-08-04,10,NA,"Utility Workers Union of America",10,NA,NA,NA,NA,0,10,NA,NA,NA,"Utility Workers Union of America","Initial","Single Labor Organization","Certific. of Representative","Closed","INCLUDED:  	All full-time and regular part-time Dispatcher 1’s and Dispatcher 2’s employed by the Employer at its 520 Green Lane, Union, New Jersey facility.

EXCLUDED:  	All office clerical employees, confidential employees, guards, professional employees and supervisors as defined in the Act, and all other employees.",NA,NA,NA,61,2025-07-01,2025-04-01,"6-10",TRUE,"RC","Yes","Utility Workers Union of America",1,"UWUA",1,"Yes",0
"06-RD-365904","Region 06, Pittsburgh, Pennsylvania","MonPower - A FirstEnergy Company",2025-05-19,2025-06-26,"Haywood","WV","A",2025-06-17,162,NA,"Utility Workers Union of America, AFL-CIO and its Local Union 304",84,NA,NA,NA,NA,72,156,NA,NA,NA,"Utility Workers Union of America, AFL-CIO and its Local Union 304","Initial","Single Labor Organization","Certific. of Representative","Closed","All full-time and regular part-time production and maintenance employees, including Op technicians/M (maintenance and electricians), chemical technicians, Op technicians/O (operations), Op technicians/C (bulk material/coal handling/solid waste processing), material technicians (storeroom), results technicians, and planners employed by the Company at its Harrison Power Station located in Haywood, WV; excluding all office clerical employees (administrative assistants), foremen and guards, professional employees and supervisors as defined in the Act, and all other employees.",NA,NA,NA,29,2025-04-01,2025-04-01,"101-500",TRUE,"RD","Yes","Utility Workers Union of America, AFL-CIO and its Local Union 304",1,"UWUA",0.538461538461538,"Yes",6
"07-RC-365054","Region 07, Detroit, Michigan","DTE Biomass Energy, Inc.",2025-05-05,2025-06-12,"Riverview","MI","A",2025-05-30,6,NA,"Local 223, Utility Workers Union of America (UWUA), AFL-CIO",5,NA,NA,NA,NA,0,5,NA,NA,NA,"Local 223, Utility Workers Union of America (UWUA), AFL-CIO","Initial","Single Labor Organization","Certific. of Representative","Closed","Included: All full-time and regular part-time renewable energy plant operators and senior renewable energy plant operators employed by the Employer at the facility currently located at 20000 Grange Rd., Riverview, Michigan; who were employed by the Employer during the payroll period ending May 04, 2025.

Excluded: All managers, guards and supervisors as defined in the Act, and all other employees.",NA,NA,NA,25,2025-04-01,2025-04-01,"6-10",TRUE,"RC","Yes","Local 223, Utility Workers Union of America (UWUA), AFL-CIO",1,"UWUA",1,"Yes",1
"25-RC-362564","Region 25, Indianapolis, Indiana","Dorel Juvenile Group, Inc.",2025-03-25,2025-05-09,"Columbus","IN","A",2025-04-30,24,NA,"Utility Workers Union of America, AFL-CIO",13,NA,NA,NA,NA,9,22,NA,NA,NA,"Utility Workers Union of America, AFL-CIO","Initial","Single Labor Organization","Certific. of Representative","Closed","Included: All full-time and regular part-time consumer care analysts, coordinators, product
technicians, specialists (formerly called “agents”), and leads employed by the Employer in
the Consumer Care Department at its 2525 State Street, Columbus, Indiana facility.

Excluded: All confidential employees, managerial employees, office clerical employees,
professional employees, guards and supervisors as defined in the Act, and all other
employees.",NA,NA,NA,36,2025-04-01,2025-01-01,"11-25",TRUE,"RC","Yes","Utility Workers Union of America, AFL-CIO",1,"UWUA",0.590909090909091,"Yes",2
"08-RC-361044","Region 08, Cleveland, Ohio","Vistra Nuclear Operations Company",2025-02-26,2026-01-07,"Perry","OH","A",2025-12-19,27,NA,"Utility Workers Union of America, AFL-CIO, Local 270",5,NA,NA,NA,NA,16,21,NA,6,NA,NA,"Initial","Revised Single Labor Org","Certification of Results","Closed","Included: All full-time and regular part-time employees in the Supervisor Nuclear Unit and M&R Tech Lead Nuclear job classifications (also known as ROs) employed by the Employer at its facility located at 10 Center Road, Perry, Ohio 44081. 

Excluded: All confidential employees, professional employees, office clerical employees, managers and guards and supervisors as defined by the Act.
 
Others permitted to vote: At this time, no decision has been made regarding whether individuals in the classifications of Consulting Nuclear Instructor and Initial License Training Supervisor are included in the unit as dual function employees, or excluded from the bargaining unit, and those individuals may vote in the election, but their ballots shall be challenged since their eligibility has not been resolved. The eligibility or inclusion of these individuals will be resolved, if necessary, following the election.",NA,NA,NA,296,2025-10-01,2025-01-01,"26-50",TRUE,"RC","Yes","Utility Workers Union of America, AFL-CIO, Local 270",1,"UWUA",0.238095238095238,"No",6
