"Case","Region","Case_Name","Date_Filed","Date_Closed","City","State","Unit ID","Tally_Date","Num_Eligible_Voters","Void Ballots","Labor_Union","Votes_For_Union","Labor Union2","Votes for Labor Union2","Labor Union3","Votes for Labor Union3","Votes_Against","Total_Ballots_Counted","Runoff Required","Challenged Ballots","Challenges are Determinative","Union to Certify","Tally_Type","Ballot_Type","Reason_Closed","Status","Voting Unit (Unit A)","Voting Unit (Unit B)","Voting Unit (Unit C)","Voting Unit (Unit D)","Length","Tally_Quarter","Filed_Quarter","size","Unique","Case_Type","Election_Data","Plot_Labor_Union","National_Count","National","Margin","Union_Cer","Didnt_Vote"
"31-RC-390589","Region 31, Los Angeles, California","Sony Pictures Animation Inc. and Chuck Productions, Inc., as a single employer",2026-07-13,NA,"Culver City","CA",NA,NA,89,NA,"International Alliance of Theatrical Stage Employees, Moving Picture Technicians, Artists and Allied Crafts of the United States, its Territories and Canada",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Open",NA,NA,NA,NA,NA,NA,2026-07-01,"51-100",TRUE,"RC","No","International Alliance of Theatrical Stage Employees, Moving Picture Technicians, Artists and Allied Crafts of the United States, its Territories and Canada",1,"IATSE",NA,"Still Open",NA
"19-RC-388562","Region 19, Seattle, Washington","Village Theatre",2026-06-09,2026-07-17,"Issaquah","WA","A",2026-07-09,13,NA,"Local No. 15, International Alliance of Theatrical Stage Employees and Moving Picture Technicians, Artists, and Allied Crafts of the United States, Its Territories and Canada, AFL-CIO, CLC",11,NA,NA,NA,NA,0,11,NA,NA,NA,"Local No. 15, International Alliance of Theatrical Stage Employees and Moving Picture Technicians, Artists, and Allied Crafts of the United States, Its Territories and Canada, AFL-CIO, CLC","Initial","Single Labor Organization","Certific. of Representative","Closed","Included: All full-time and regular part-time Patron Services employees, including but not limited to Patron Services Associates, Lead Patron Services Associates, Lead Patron Services Associate & Group Sales Coordinators, and Assistant Patron Services Managers employed by the Employer and working at or out of the Employer’s facilities located at 303 Front Street North, Issaquah, WA 98027 and 2710 Wetmore Avenue, Everett, WA 98201. 

Excluded: All other employees, office clerical employees, managerial employees, confidential employees, and guards and supervisors as defined by the Act.",NA,NA,NA,30,2026-07-01,2026-04-01,"11-25",TRUE,"RC","Yes","Local No. 15, International Alliance of Theatrical Stage Employees and Moving Picture Technicians, Artists, and Allied Crafts of the United States, Its Territories and Canada, AFL-CIO, CLC",1,"IATSE",1,"Yes",2
"15-RC-388053","Region 15, New Orleans, Louisiana","Swaybox Studios, Inc.",2026-06-02,2026-07-29,"New Orleans","LA","A",2026-07-21,137,NA,"International Alliance of Theatrical Stage Employees, Moving Picture Technicians, Artists and Allied Crafts of the United States, its Territories, and Canada (IATSE)",84,NA,NA,NA,NA,35,119,NA,9,NA,"International Alliance of Theatrical Stage Employees, Moving Picture Technicians, Artists and Allied Crafts of the United States, its Territories, and Canada (IATSE)","Initial","Single Labor Organization","Certific. of Representative","Closed","Included: All full-time and regular part-time employees employed by Swaybox Studios, Inc. at or out of its facility located at 155 Brookhollow Esplanade, New Orleans, Louisiana, in the following classifications:
 
•       CG Environment Artist
•	Hair/Fur
•	Junior Mold and Cast Fabricator
•	CG Modeler
•	MoMo Animation Performer Second
•	Senior Story Artist
•	MoMo Animation Performer Lead
•	MoMo Animation Performer
•	Animator
•	Mid Level Carpenter
•	Digital Puppetry Artist
•	Fabric Dyer/Print Tech
•	Junior Fabricator Generalist
•	Junior Set Painter
•	Laser Cut/Water Jet Technician
•	Lead Puppet Painter
•	Senior Fabricator Generalist
•	Senior Face Lookdev Artist
•	Senior Pipeline Developer/Engineer
•	Vehicle File Prep
•	Story Artist
•	VFX Data Wrangler
•	1st Assistant Editor
•	3D Pinter Technician
•	3D Tracking Artist
•	Accounting Clerk
•	Action Board Junior Story A1tist
•	Animatic Comp Artist
•	Animatic Editor
•	Animation Performance / Rigging Coordinator
•	Animation Lead
•	Art Department Production Assistant
•	Assistant Accountant
•	Assistant MoMo Animation Editor
•	Assistant Production Manager
•	Assistant Creative Technical Director
•	Blendshape Artist
•	Camera & Lighting Technician
•	Carpenter
•	CG Character Modeler
•	CG Rigger
•	CG Set Modeler
•	Character Sculptor
•	Data Wrangler
•	Digital Fabricator Generalist
•	Digital Fabricator
•	Editorial Production Assistant
•	Editor
•	Fab1icator Generalist
•	Facilities Associate
•	Facilities Manager
•	Grip
•	House Runner
•	IT Desktop Support
•	Junior Costumer
•	Junior Puppet Hair/Fur
•	Junior Prop Fabricator
•	Junior Prop Fabricator - Generalist
•	Junior Puppet Generalist
•	Junior Puppet Painter
•	Junior Storyboard Artist
•	Lead CG Generalist
•	Lead Costumer
•	Lead Digital Fabricator
•	Lead Hair/Fur
•	Lead Puppet Fabricator
•	Lead Puppet Wrangler
•	Lead Set Painter
•	Lead Set Sculptor
•	Maya Technical Director
•       Mid Level Costumer 
•       Mold and Cast Fabricator
•	MoMo Animation Editor
•	Nuke Technical Director
•	Office Production Assistant
•	Payroll Accountant
•	Print Technician
•	Prop Fabricator
•	Puppet Fabrication Coordinator
•	Puppet Fabrication Production Assistant
•	Puppet Generalist
•	Studio Receptionist 
•       Schedule Consultant
•       Script and Continuity Coordinator 
•       Second Assistant Director
•       Senior Carpenter
•	Senior CG Generalist
•	Senior Costumer
•	Senior Digital Fabricator
•	Senior Mold and Cast Fabricator
•	Senior Pipeline Integration Engineer
•	Senior Prop Fabricator
•	Senior Puppet Hair/Fur
•	Senior System Administrator
•	Senior Vehicle Engineer
•       Senior Vehicle Painter
•       Set Fabrication Asset Manager
•       Set Fabrication Coordinator
•	Set Fabrication Production Assistant
•	Set File Prep
•	Sets Graphic Designer
•	Set Layout Designer
•	Set Painter
•	Sets Painter
•	Software Engineer 
•       Animatic Sound Mix 
•       Story/Edit/Art Coordinator 
•       Studio Custodian
•       VFX Coordinator
•	Video Assist Lead
•	Visual Development Artist
•	1st Animator (Face)
•	Action Board Story Artist
•	AE Animatic Comp Artist
•	Animation Coordinator 
•       Art Coordinator
•	Art Director-Puppets
•	Art Generalist
•       Assistant Editor
•       Assistant Facilities Manager
•       Boom Operator 
•       Blendshapes Modeler
•	CG Character Artist
•	Character A1tist
•	Character Designer
•	Clean Up Story Artist
•	Concept Designer
•	Continuity Coordinator
•	Costume Design Illustrator 
•       Creative Tech Assistant 
•       Dimmer Board Operator 
•       Electric Lighting Technician
•	Face Sanding
•	First Assistant Accountant
•	First Assistant Director
•	Gaffer
•	Graphic Artist
•	Senior Graphic Artist
•       Junior AE Animatic Comp Artist 
•       Junior Production Assistant
•	Junior Prop Fabricator - Graphic Miniature
•	Junior Sets Production Assistant
•	Lead Carpenter
•	Lead CG Rigger
•	Lead Mold and Cast
•	Lead Vehicle Engineer
•	Lighting Color Script
•       Look Development Artist
•       Look Development Coordinator
•	Mid Level Clay Sculptor
•	Mid Level Fabricator - Greens
•	Mid Level Fabricator - Lighting
•	Mid Level Mold and Cast
•	Mid Level Upholstery
•	Parts Trimmer/Sander 
•       Payroll Clerk
•	Pipeline Developer
•	Pipeline Integration Engineer
•	Production Assistant
•	Production Designer
•	Scenic Painter
•	Script Supervisor
•       Set Designer
•       Set Dresser
•       Sets Mold/Cast Fabricator
•	Storyboard Artist
•	System Administrator
•	System Engineer
•	Vehicle Concept Designer
•	Vehicle Designer
•	Vehicle Production Assistant 
•       Virtual Pipeline Technician 
•       Sculptor
•	Video Engineer

Excluded: All other employees, managers, confidential employees, guards, and supervisors as defined by the National Labor Relations Act.",NA,NA,NA,49,2026-07-01,2026-04-01,"101-500",TRUE,"RC","Yes","International Alliance of Theatrical Stage Employees, Moving Picture Technicians, Artists and Allied Crafts of the United States, its Territories, and Canada (IATSE)",1,"IATSE",0.705882352941177,"Yes",18
"14-RC-388116","Region 14, Saint Louis, Missouri","Worlds of Fun LLC",2026-06-02,2026-07-15,"Kansas City","MO","A",2026-07-07,37,NA,"International Alliance of Theatrical Stage Employees Local No. 31",20,NA,NA,NA,NA,1,21,NA,2,NA,"International Alliance of Theatrical Stage Employees Local No. 31","Initial","Single Labor Organization","Certific. of Representative","Closed","Included: All full-time and regular part-time Seasonal Production Technicians, Costume
Technicians, Show Dressers and Creative Technicians employed by the Employer at its facility
located at 4545 Worlds of Fun Avenue, Kansas City, Missouri 64161.
Excluded: All other employees including senior supervisors, office clerical employees,
professional employees, guards and supervisors as defined in the Act.",NA,NA,NA,35,2026-07-01,2026-04-01,"26-50",TRUE,"RC","Yes","International Alliance of Theatrical Stage Employees Local No. 31",1,"IATSE",0.952380952380952,"Yes",16
"27-RC-387347","Region 27, Denver, Colorado","HQ Live Denver Inc.",2026-05-20,2026-07-13,"Denver","CO","A",2026-06-30,6,NA,"International Alliance of Theatrical Stage Employees, Local 7, AFL-CIO",5,NA,NA,NA,NA,1,6,NA,NA,NA,"International Alliance of Theatrical Stage Employees, Local 7, AFL-CIO","Initial","Single Labor Organization","Certific. of Representative","Closed","Included: All full-time and regular part-time employees in the classification of Audio
Engineer who have worked for the Employer on at least two productions for at least a total of five 
(5) working days over a one-year period preceding May 20, 2026, or at least a total of fifteen (15) 
days over a two year period preceding May 20, 2026.

Excluded: All office clerical employees, managerial employees, professional employees, guards, 
supervisors, as defined in the Act, and all other employees.",NA,NA,NA,41,2026-04-01,2026-04-01,"6-10",TRUE,"RC","Yes","International Alliance of Theatrical Stage Employees, Local 7, AFL-CIO",1,"IATSE",0.833333333333333,"Yes",0
"27-RC-387319","Region 27, Denver, Colorado","Federal Theatre Productions LLC d/b/a Federal Theatre",2026-05-19,2026-07-13,"Denver","CO","A",2026-06-30,14,NA,"International Alliance of Theatrical Stage Employees, Local 7, AFL-CIO",11,NA,NA,NA,NA,2,13,NA,NA,NA,"International Alliance of Theatrical Stage Employees, Local 7, AFL-CIO","Initial","Single Labor Organization","Certific. of Representative","Closed","Included: All full-time and regular part-time employees in the classification of Audio Engineer who 
have worked for the Employer on at least two productions for at least a total of five (5) working 
days over a one-year period preceding May 19, 2026, or at least a total of fifteen (15) days over a 
two year period preceding May 19, 2026.

Excluded: All office clerical employees, managerial employees, professional employees, guards, 
supervisors, as defined in the Act, and all other employees.",NA,NA,NA,42,2026-04-01,2026-04-01,"11-25",TRUE,"RC","Yes","International Alliance of Theatrical Stage Employees, Local 7, AFL-CIO",1,"IATSE",0.846153846153846,"Yes",1
"29-RC-387228","Region 29, Brooklyn, New York","Brooklyn Bowl LLC",2026-05-18,2026-07-28,"Brooklyn","NY","A",2026-07-14,24,1,"Theatrical Stage Employees Local No. 4, IATSE",15,NA,NA,NA,NA,1,16,NA,NA,NA,"Theatrical Stage Employees Local No. 4, IATSE","Initial","Single Labor Organization","Certific. of Representative","Closed","Included: All production employees employed at the Employer’s facility located at 61
Wythe Avenue, Brooklyn, NY.
Excluded: All other employees, managers and supervisors as defined in the Act.",NA,NA,NA,57,2026-07-01,2026-04-01,"11-25",TRUE,"RC","Yes","Theatrical Stage Employees Local No. 4, IATSE",1,"IATSE",0.9375,"Yes",8
"27-RC-387236","Region 27, Denver, Colorado","Berkeley Highlands Productions LLC d/b/a Oriental Theater",2026-05-18,2026-07-13,"Denver","CO","A",2026-06-30,7,NA,"International Alliance of Theatrical Stage Employees, Local 7, AFL-CIO",5,NA,NA,NA,NA,1,6,NA,NA,NA,"International Alliance of Theatrical Stage Employees, Local 7, AFL-CIO","Initial","Single Labor Organization","Certific. of Representative","Closed","Included: All full-time and regular part-time employees in the classification of Audio Engineer who 
have worked for the Employer on at least two productions for at least a total of five (5) working 
days over a one-year period preceding May 19, 2026, or at least a total of fifteen (I 5) days over 
a two year period preceding May I9, 2026.

Excluded: All office clerical employees, managerial employees, professional employees, guards, 
supervisors, as defined in the Act, and all other employees.",NA,NA,NA,43,2026-04-01,2026-04-01,"6-10",TRUE,"RC","Yes","International Alliance of Theatrical Stage Employees, Local 7, AFL-CIO",1,"IATSE",0.833333333333333,"Yes",1
"09-RC-386400","Region 09, Cincinnati, Ohio","JEANNE B MCCOY COMMUNITY CENTER FOR THE ARTS CORPORATION",2026-05-05,2026-07-08,"New Albany","OH","A",2026-06-29,8,NA,"International Alliance of Theatrical Stage Employees, Motion Picture Technicians, Artists, and Allied Crafts of the United States (IATSE), Local Union 12",7,NA,NA,NA,NA,0,7,NA,1,NA,"International Alliance of Theatrical Stage Employees, Motion Picture Technicians, Artists, and Allied Crafts of the United States (IATSE), Local Union 12","Initial","Single Labor Organization","Certific. of Representative","Closed","All regular full-time and part time stagehands, including A/V engineers and technicians, FOH/backstage engineers and technicians, riggers, electricians, carpenters, truck loaders, video, props, pushers, audio, forklift operators, aerial lift operators, spotlight operators, cable pagers, scaffold crew, stage build crew, and call stewards at the Jeanne B McCoy Community Center for the Arts Corporation and Hinson Amphitheater, excluding all other employees, including ticket takers, ushers, office staff and personnel, event coordinators, custodial staff, operations, building engineers, concessions, maintenance staff, office clerical employees, professional employees, and guards and supervisors as defined by the Act.

To be eligible to vote, employees in the above unit must also have worked an average of four (4) hours or more per week during the 13 weeks immediately preceding the eligibility date for the election.  The parties stipulated to use of this formula, set forth in Davison-Paxon Co., 185 NLRB 21, 23-24 (1970), to determine voter eligibility.",NA,NA,NA,55,2026-04-01,2026-04-01,"6-10",TRUE,"RC","Yes","International Alliance of Theatrical Stage Employees, Motion Picture Technicians, Artists, and Allied Crafts of the United States (IATSE), Local Union 12",1,"IATSE",1,"Yes",1
"19-RD-386247","Region 19, Seattle, Washington","Sinclair Media of Seattle, LLC d/b/a KOMO-TV",2026-05-01,NA,"Seattle","WA",NA,NA,13,NA,"IATSE Local 600",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Open",NA,NA,NA,NA,NA,NA,2026-04-01,"11-25",TRUE,"RD","No","IATSE Local 600",1,"IATSE",NA,"Still Open",NA
"21-RC-385472","Region 21, Los Angeles, California","Smart City Networks, Limited Partnership",2026-04-23,2026-06-01,"San Diego","CA","A",2026-05-21,12,NA,"IATSE Local 122, International Alliance of Theatrical Stage Employees, Moving Picture Technicians, Artists and Allied Crafts of the United States, its Territories and Canada, AFL-CIO",10,NA,NA,NA,NA,2,12,NA,NA,NA,"IATSE Local 122, International Alliance of Theatrical Stage Employees, Moving Picture Technicians, Artists and Allied Crafts of the United States, its Territories and Canada, AFL-CIO","Initial","Single Labor Organization","Certific. of Representative","Closed","Included: All full-time and regular part-time technicians (techs), including all techs 1, techs 2, sales representatives, and event coordinators employed by the Employer at its facility currently located at 111 West Harbor Drive, San Diego, California

Excluded: All other employees, office clerical employees, professional employees,
confidential employees, managerial employees, guards, and supervisors as
defined in the Act.",NA,NA,NA,28,2026-04-01,2026-04-01,"11-25",TRUE,"RC","Yes","IATSE Local 122, International Alliance of Theatrical Stage Employees, Moving Picture Technicians, Artists and Allied Crafts of the United States, its Territories and Canada, AFL-CIO",1,"IATSE",0.833333333333333,"Yes",0
"02-RC-385027","Region 02, New York, New York","Heathers USA LLC",2026-04-16,NA,"New York","NY","A",2026-06-08,17,NA,"International Alliance of Theatrical Stage Employees, Moving Picture Technicians, Artists and Allied Crafts, of the United States, its Territories and Canada, AFL-CIO, CLC",7,NA,NA,NA,NA,0,8,NA,1,NA,"International Alliance of Theatrical Stage Employees, Moving Picture Technicians, Artists and Allied Crafts, of the United States, its Territories and Canada, AFL-CIO, CLC","Initial","Single Labor Organization",NA,"Open","Included: 
All full-time, regular part-time, and on-call A1s, A2s, Light Board Operators, Follow Spot Operators, Deck Run Crew, Props Run Crew, Wardrobe Assistants, Laundry Person, and Hair Supervisors employed by the Employer in connection with the theatrical production known as “Heathers” at New World Stages, 340 W 50th Street, New York, NY 10019, who were employed during the payroll period ending on April 26, 2026,

Excluded: 
All other employees, clerical employees, guards and supervisors as defined by the Act.

Others permitted to vote: 
The parties have agreed that the Wardrobe Supervisor may vote in the election, but their ballots will be challenged since their eligibility has not been resolved. No decision has been made regarding whether the individuals in this classification or group are included in, or excluded from, the bargaining unit. The eligibility or inclusion of these individuals will be resolved, if necessary, following the election.",NA,NA,NA,53,2026-04-01,2026-04-01,"11-25",TRUE,"RC","Yes","International Alliance of Theatrical Stage Employees, Moving Picture Technicians, Artists and Allied Crafts, of the United States, its Territories and Canada, AFL-CIO, CLC",1,"IATSE",1,"Still Open",10
"04-RC-384402","Region 04, Philadelphia, Pennsylvania","Marina District Development Company, LLC d/b/a Borgata Hotel Casino & Spa",2026-04-07,2026-05-18,"Atlantic City","NJ","A",2026-05-08,42,NA,"International Alliance of Theatrical Stage Employees (IATSE), Local 917",27,NA,NA,NA,NA,7,34,NA,3,NA,"International Alliance of Theatrical Stage Employees (IATSE), Local 917","Initial","Single Labor Organization","Certific. of Representative","Closed","INCLUDED: All regular non-full-time Entertainment Technicians employed by the Employer at its 1 Borgata Way, Atlantic City, New Jersey facility.

EXCLUDED: All other employees, lead entertainment technicians, regular full-time entertainment technicians, managerial employees, office clerical employees, guards, and supervisors as defined in the Act.",NA,NA,NA,31,2026-04-01,2026-04-01,"26-50",TRUE,"RC","Yes","International Alliance of Theatrical Stage Employees (IATSE), Local 917",1,"IATSE",0.794117647058823,"Yes",8
"21-RC-384114","Region 21, Los Angeles, California","San Diego Musical Theater",2026-04-02,2026-05-08,"San Diego","CA","A",2026-04-29,11,NA,"International Alliance of Theatrical Stage Employees, Local 122",8,NA,NA,NA,NA,2,10,NA,NA,NA,"International Alliance of Theatrical Stage Employees, Local 122","Initial","Single Labor Organization","Certific. of Representative","Closed","INCLUDED:  All full-time, regular part-time, and on-call employees, including audio, electrics, 
video, wardrobe, hair/makeup, carpentry, and assistant stage managers, employed by the Employer at 
its facility currently located at 4650 Mercury Street, San Diego, California.

EXCLUDED: All other employees, office clerical employees, professional employees,
managerial employees, guards, and supervisors as defined in the Act.",NA,NA,NA,27,2026-04-01,2026-04-01,"11-25",TRUE,"RC","Yes","International Alliance of Theatrical Stage Employees, Local 122",1,"IATSE",0.8,"Yes",1
"04-RM-383078","Region 04, Philadelphia, Pennsylvania","The Trustees of the University of Pennsylvania",2026-03-17,2026-04-22,"Philadelphia","PA","A",2026-04-14,8,NA,"International Alliance of Theatrical Stage Employees (IATSE), Local 8",8,NA,NA,NA,NA,0,8,NA,NA,NA,"International Alliance of Theatrical Stage Employees (IATSE), Local 8","Initial","Single Labor Organization","Certific. of Representative","Closed","INCLUDED: All full-time and regular part-time Audio Engineers, Digital Production Supervisors, House Electricians, Production Coordinators, and Theatre Technicians employed by the Employer out of Penn Live Arts, Annenberg Center, University of Pennsylvania, 3680 Walnut Street, Philadelphia, Pennsylvania.

EXCLUDED: All other employees, student employees, managerial employees, confidential employees, temporary employees, Production Associates, guards and supervisors as defined by the Act.

OTHERS PERMITTED TO VOTE: The parties have agreed that Audio Supervisors and Lighting Supervisors may vote in the election but their ballots will be challenged since their eligibility has not been resolved.  No decision has been made regarding whether the individuals in these classifications or groups are included in, or excluded from, the bargaining unit.  The eligibility or inclusion of these individuals will be resolved, if necessary, following the election",NA,NA,NA,28,2026-04-01,2026-01-01,"6-10",TRUE,"RM","Yes","International Alliance of Theatrical Stage Employees (IATSE), Local 8",1,"IATSE",1,"Yes",0
"20-RD-381802","Region 20, San Francisco, California","Inspire Event Technologies, LLC",2026-02-25,2026-03-19,"Napa","CA","A",2026-03-10,3,NA,"International Alliance of Theatrical Stage Employees, Moving Picture Technicians, Artists and Allied Crafts of the United States, its Territories and Canada, Local 16",0,NA,NA,NA,NA,3,3,NA,NA,NA,NA,"Initial","Single Labor Organization","Certification of Results","Closed","Included: All full-time and regular part-time Audio Visual Technicians and Lead Audio Engineers employed by the Employer at its facility located at 875 Bordeaux Way in Napa, California.

Excluded: All other employees, guards, and supervisors as defined in the Act.",NA,NA,NA,13,2026-01-01,2026-01-01,"<5",TRUE,"RD","Yes","International Alliance of Theatrical Stage Employees, Moving Picture Technicians, Artists and Allied Crafts of the United States, its Territories and Canada, Local 16",1,"IATSE",0,"No",0
"01-RC-381633","Region 01, Boston, Massachusetts","Crossroads Presents, LLC.",2026-02-23,2026-03-30,"Boston","MA","A",2026-03-20,20,NA,"IATSE Local 11",11,NA,NA,NA,NA,0,11,NA,NA,NA,"IATSE Local 11",NA,"Single Labor Organization","Certific. of Representative","Closed","Included: All full-time and regular part-time technicians who work in the following departments: rigging, carpentry, audio, lighting, video, properties, wardrobe, truck loaders, stagehands, and stage managers employed by the employer in conjunction with the performance or presentation of any show, production, or event at the Paradise Rock Club, Boston.

Excluded: All office clerical employees, confidential employees, managers, guards, professional employees, and supervisors as defined in the Act.",NA,NA,NA,25,2026-01-01,2026-01-01,"11-25",TRUE,"RC","Yes","IATSE Local 11",1,"IATSE",1,"Yes",9
"01-RC-381633","Region 01, Boston, Massachusetts","Crossroads Presents, LLC.",2026-02-23,2026-03-30,"Boston","MA","A",2026-03-20,20,NA,"IATSE Local 11",11,NA,NA,NA,NA,0,11,NA,NA,NA,"IATSE Local 11","Initial","Single Labor Organization","Certific. of Representative","Closed","Included: All full-time and regular part-time technicians who work in the following departments: rigging, carpentry, audio, lighting, video, properties, wardrobe, truck loaders, stagehands, and stage managers employed by the employer in conjunction with the performance or presentation of any show, production, or event at the Paradise Rock Club, Boston.

Excluded: All office clerical employees, confidential employees, managers, guards, professional employees, and supervisors as defined in the Act.",NA,NA,NA,25,2026-01-01,2026-01-01,"11-25",FALSE,"RC","Yes","IATSE Local 11",1,"IATSE",1,"Yes",9
"01-RC-381631","Region 01, Boston, Massachusetts","Crossroads Presents, LLC.",2026-02-23,2026-03-27,"Boston","MA","A",2026-03-19,10,NA,"IATSE Local 11",10,NA,NA,NA,NA,0,0,NA,NA,NA,"IATSE Local 11","Initial","Single Labor Organization","Certific. of Representative","Closed","Included: All full-time and regular part-time technicians who work in the following departments: rigging, carpentry, audio, lighting, video, properties, wardrobe, truck loaders, stagehands, and stage managers employed by the employer in conjunction with the performance or presentation of any show, production, or event at the Brighton Music Hall, Boston.

Excluded: All office clerical employees, confidential employees, managers, guards, professional employees, and supervisors as defined in the Act.",NA,NA,NA,24,2026-01-01,2026-01-01,"6-10",TRUE,"RC","Yes","IATSE Local 11",1,"IATSE",NA,"Yes",0
"01-RC-381018","Region 01, Boston, Massachusetts","Distinct Artistry LLC",2026-02-12,2026-04-20,"Bristol","CT","A",2026-04-10,28,NA,"MAKE-UP ARTISTS & HAIR STYLISTS, LOCAL 798, IATSE",19,NA,NA,NA,NA,4,23,NA,2,NA,"MAKE-UP ARTISTS & HAIR STYLISTS, LOCAL 798, IATSE","Initial","Single Labor Organization","Certific. of Representative","Closed","Included: All Make-Up Artists & Hair Stylists employed by the Employer working out of the ESPN Bristol Studio location, including those who are dispatched to work on remote locations. 

Excluded: All independent contractors, individuals working out of the North Carolina Studio location, office clerical employees, managers, guards, professional employees, and supervisors as defined in the Act, and all other employees.   

The parties agree that eligible to vote are those employees who worked an average of four (4) or more hours per week during the 13-week period prior to the payroll eligibility date.",NA,NA,NA,57,2026-04-01,2026-01-01,"26-50",TRUE,"RC","Yes","MAKE-UP ARTISTS & HAIR STYLISTS, LOCAL 798, IATSE",1,"IATSE",0.826086956521739,"Yes",5
"01-RM-380558","Region 01, Boston, Massachusetts","Crossroads Presents, LLC.",2026-02-06,2026-03-16,"Boston","MA","A",2026-03-06,30,NA,"IATSE Local 11",18,NA,NA,NA,NA,0,0,NA,NA,NA,"IATSE Local 11","Initial","Single Labor Organization","Certific. of Representative","Closed","Included: All full-time and regular part-time technicians who work in the following departments: rigging, carpentry, audio, lighting, video, properties, wardrobe, truck loaders, stagehands, and stage managers employed by the employer in conjunction with the performance or presentation of any show, production, or event at the Citizens House of Blues Boston.

Excluded: All office clerical employees, confidential employees, managers, guards, professional employees, and supervisors as defined in the Act.",NA,NA,NA,28,2026-01-01,2026-01-01,"26-50",TRUE,"RM","Yes","IATSE Local 11",1,"IATSE",NA,"Yes",12
"28-RC-376981","Region 28, Phoenix, Arizona","Bowtie Hospitality LV LLC d/b/a Fontainebleau LV",2025-12-11,2026-07-09,"Las Vegas","NV","A",2026-01-05,10,NA,"International Alliance of Theatrical  Stage Employees Local 720",3,NA,NA,NA,NA,6,9,NA,NA,NA,NA,"Initial","Single Labor Organization","Certification of Results","Closed","INCLUDED: All full-time and regular part-time AV Engineers and AV Systems Technicians employed by the Employer at its facility in Las Vegas, Nevada. 

EXCLUDED: All other employees, official clerical employees, professional employees, guards, and supervisors as defined by the Act.",NA,NA,NA,25,2026-01-01,2025-10-01,"6-10",TRUE,"RC","Yes","International Alliance of Theatrical  Stage Employees Local 720",1,"IATSE",0.333333333333333,"No",1
"31-RC-376596","Region 31, Los Angeles, California","Academy of Motion Picture Arts and Sciences (AMPAS)",2025-12-05,NA,"Los Angeles","CA",NA,NA,31,NA,"Amusement Area Employees Union, Local B-192, International Alliance of Theatrical Stage Employees and Moving Picture Technicians, Artists and Allied Crafts of the United States, its territories and Canada, AFL-CIO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Open",NA,NA,NA,NA,NA,NA,2025-10-01,"26-50",TRUE,"RC","No","Amusement Area Employees Union, Local B-192, International Alliance of Theatrical Stage Employees and Moving Picture Technicians, Artists and Allied Crafts of the United States, its territories and Canada, AFL-CIO",1,"IATSE",NA,"Still Open",NA
"05-RC-376274","Region 05, Baltimore, Maryland","It's My Party, Inc.",2025-12-04,2026-01-29,"Washington","DC","A",2026-01-21,35,NA,"International Alliance of Theatrical and Stage Employees, Local 868",25,NA,NA,NA,NA,0,27,NA,2,NA,"International Alliance of Theatrical and Stage Employees, Local 868","Initial","Single Labor Organization","Certific. of Representative","Closed","Included: All full time and regular part-time ticket sellers and treasurers employed by the Employer at its facilities currently located at 815 V St. NW, Washington, DC 20001 (9:30 Club); 2047 9th St. NW, Washington, DC 20001 (The Atlantis); 901 Wharf Street SW, Washington, DC 20004 (The Anthem); and 1215 U St. NW, Washington, DC 20009 (Lincoln Theatre). 

Excluded: All other employees, Day Box Office Supervisors, Assistant Box Office Managers, office clerical employees, guards, managers, and supervisors as defined by the Act.",NA,NA,NA,48,2026-01-01,2025-10-01,"26-50",TRUE,"RC","Yes","International Alliance of Theatrical and Stage Employees, Local 868",1,"IATSE",1,"Yes",10
"05-RC-376269","Region 05, Baltimore, Maryland","It's My Party, Inc.",2025-12-04,2026-01-29,"Washington","DC","A",2026-01-21,81,NA,"International Alliance of Theatrical and Stage Employees Local 22",48,NA,NA,NA,NA,11,59,NA,6,NA,"International Alliance of Theatrical and Stage Employees Local 22","Initial","Single Labor Organization","Certific. of Representative","Closed","Included: All full time and regular part-time stagehands, technicians, and riggers employed by the Employer at its facilities currently located at 815 V St. NW, Washington, DC 20001 (9:30 Club); 2047 9th St. NW, Washington, DC 20001 (The Atlantis); 901 Wharf Street SW, Washington, DC 20004 (The Anthem); and 1215 U St. NW, Washington, DC 20009 (Lincoln Theatre). 

Excluded: All other employees, Head Lighting Director, Assistant Production Manager, Head Audio Engineer, Stagehand Scheduler, office clerical employees, guards, managers, and supervisors as defined by the Act.",NA,NA,NA,48,2026-01-01,2025-10-01,"51-100",TRUE,"RC","Yes","International Alliance of Theatrical and Stage Employees Local 22",1,"IATSE",0.813559322033898,"Yes",22
