"Case","Region","Case_Name","Date_Filed","Date_Closed","City","State","Unit ID","Tally_Date","Num_Eligible_Voters","Void Ballots","Labor_Union","Votes_For_Union","Labor Union2","Votes for Labor Union2","Labor Union3","Votes for Labor Union3","Votes_Against","Total_Ballots_Counted","Runoff Required","Challenged Ballots","Challenges are Determinative","Union to Certify","Tally_Type","Ballot_Type","Reason_Closed","Status","Voting Unit (Unit A)","Voting Unit (Unit B)","Voting Unit (Unit C)","Voting Unit (Unit D)","Length","Tally_Quarter","Filed_Quarter","size","Unique","Case_Type","Election_Data","Plot_Labor_Union","National_Count","National","Margin","Union_Cer","Didnt_Vote"
"05-RM-376431","Region 05, Baltimore, Maryland","The Pew Research Center",2025-12-05,2026-01-29,"Washington","DC","A",2026-01-21,126,NA,"Nonprofit Professional Employees Union, IFPTE Local 70, a/w International Federation of Professional and Technical Engineers, AFL-CIO",74,NA,NA,NA,NA,45,119,NA,NA,NA,"Nonprofit Professional Employees Union, IFPTE Local 70, a/w International Federation of Professional and Technical Engineers, AFL-CIO","Initial","Single Labor Organization","Certific. of Representative","Closed","Included: All full-time and regular part-time Junior-, Mid-, and Senior- level employees employed by the Employer at its facility currently located at 901 E Street NW, Suite 300, Washington, D.C. 20004.

Excluded: All other employees, employees employed in the Finance & Operations, Human Resources, Legal, Executive Office, and Fundraising departments, Executive Assistants, confidential employees, temporary employees, managerial employees, guards, and supervisors as defined in the Act",NA,NA,NA,47,2026-01-01,2025-10-01,"101-500",TRUE,"RM","Yes","Nonprofit Professional Employees Union, IFPTE Local 70, a/w International Federation of Professional and Technical Engineers, AFL-CIO",1,"IFPTE",0.621848739495798,"Yes",7
"32-RC-374494","Region 32, Oakland, California","Hayward Sisters Hospital d/b/a St. Rose Hospital",2025-11-13,2025-12-19,"Hayward","CA","B",2025-12-03,16,NA,"Engineers & Scientists of California, Local 20 IFPTE",12,NA,NA,NA,NA,0,12,NA,NA,NA,"Engineers & Scientists of California, Local 20 IFPTE","Initial","Single Labor Organization","Certification of Results","Closed","VOTING GROUP A – EXISTING PROFESSIONAL UNIT 

Included: All full-time, regular part-time and per diem Clinical Lab Scientists, Clinical Dietitians and Pharmacists employed by the Employer at its facility located at 27200 Calaroga Ave., Hayward, CA 94545.

Excluded: All other employees, nonprofessional employees, confidential employees, office clerical employees, guards, and supervisors as defined in the Act. 

VOTING GROUP B – PETITIONED FOR PROFESSIONAL EMPLOYEES

Included: All full-time, regular part-time and per diem Physical Therapists, Occupational Therapists, Speech Therapists, and Social Workers employed by the Employer at its facility located at 27200 Calaroga Ave., Hayward, CA 94545.

Excluded:  Employees represented by a labor organization, nonprofessional employees, confidential employees, office clerical employees, guards, and supervisors as defined in the Act. 


VOTING GROUP C – PETITIONED FOR NON-PROFESSIONAL EMPLOYEES

Included: All full-time, regular part-time and per diem Physical Therapy Aides, Patient Care Advocates and Placement Coordinators employed by the Employer at its facility located at 27200 Calaroga Ave., Hayward, CA 94545.

Excluded: Professional employees, employees represented by a labor organization, confidential employees, office clerical employees, guards, and supervisors as defined in the Act.",NA,NA,NA,20,2025-10-01,2025-10-01,"11-25",TRUE,"RC","Yes","Engineers & Scientists of California, Local 20 IFPTE",1,"IFPTE",1,"No",4
"32-RC-374494","Region 32, Oakland, California","Hayward Sisters Hospital d/b/a St. Rose Hospital",2025-11-13,2025-12-19,"Hayward","CA","A",2025-12-03,46,NA,"Engineers & Scientists of California, Local 20 IFPTE",22,NA,NA,NA,NA,1,23,NA,NA,NA,"Engineers & Scientists of California, Local 20 IFPTE","Initial","Single Labor Organization","Certification of Results","Closed","VOTING GROUP A – EXISTING PROFESSIONAL UNIT 

Included: All full-time, regular part-time and per diem Clinical Lab Scientists, Clinical Dietitians and Pharmacists employed by the Employer at its facility located at 27200 Calaroga Ave., Hayward, CA 94545.

Excluded: All other employees, nonprofessional employees, confidential employees, office clerical employees, guards, and supervisors as defined in the Act. 

VOTING GROUP B – PETITIONED FOR PROFESSIONAL EMPLOYEES

Included: All full-time, regular part-time and per diem Physical Therapists, Occupational Therapists, Speech Therapists, and Social Workers employed by the Employer at its facility located at 27200 Calaroga Ave., Hayward, CA 94545.

Excluded:  Employees represented by a labor organization, nonprofessional employees, confidential employees, office clerical employees, guards, and supervisors as defined in the Act. 


VOTING GROUP C – PETITIONED FOR NON-PROFESSIONAL EMPLOYEES

Included: All full-time, regular part-time and per diem Physical Therapy Aides, Patient Care Advocates and Placement Coordinators employed by the Employer at its facility located at 27200 Calaroga Ave., Hayward, CA 94545.

Excluded: Professional employees, employees represented by a labor organization, confidential employees, office clerical employees, guards, and supervisors as defined in the Act.",NA,NA,NA,20,2025-10-01,2025-10-01,"26-50",TRUE,"RC","Yes","Engineers & Scientists of California, Local 20 IFPTE",1,"IFPTE",0.956521739130435,"No",23
"21-RC-363966","Region 21, Los Angeles, California","Southern California Edison Company",2025-04-17,2025-07-02,"Rosemead","CA","A",2025-06-23,1103,17,"Engineers & Scientists of California, Local 20, International Federation of Professional and Technical Engineers (IFPTE), AFL-CIO, CLC",562,NA,NA,NA,NA,351,913,NA,4,NA,"Engineers & Scientists of California, Local 20, International Federation of Professional and Technical Engineers (IFPTE), AFL-CIO, CLC","Initial","Single Labor Organization","Certific. of Representative","Closed","Included: All employees classified as Planning, Assoc Spec-trainees (Planner 1 trainees); Planning, Specs (Planner 1s); Planning, Sr Spec (Planner 2s); Planning, Sr Specs trainees (Planner 2 trainees); Planning, Advisor (Planner 3s); Tech Spec, Assoc Specs (Field Planning Technicians); Tech Spec, Assoc Specs Trainees (Field Planning Technician Trainees); Design/Drafting, Assoc Specs (Designer 1s); Design/Drafting, Specialists (Designer 2s) employed by the Employer in the Northwest and Southeast Design units in the Design & Field Asset Services of the Transmissions and Distributions Department.

Excluded: All other employees; in the Substation Construction and Maintenance department: Planning, Specs (Planner 1s); Planning, Assoc Spec - trainees (Planner 1 trainees); Planning, Sr Specs (Planners 2s); Planning, Sr Spec trainees (Planner 2 trainees), and Planning, Advisor (Planner 3s); in the Generation and Edison Carrier Solutions department: Planning, Specs (Planners 1s); Planning, Assoc Spec - Trainees (Planner 1 trainees), Planning, Sr Specs (Planner 2s); Planning, Sr Spec trainees (Planner 2 trainees), and Planning, Advisor (Planner 3s); in the Engineering department: Design/Drafting, Assoc Specs (Designer 1s), Design/Drafting, Specialists (Designer 2s); Planning, Assoc Spec – Planner, Analyst Support; Analysts; Administrative Aides; office clerical employees, confidential employees, professional employees, managerial employees, guards, and supervisors as defined in the Act.",NA,NA,NA,67,2025-04-01,2025-04-01,"500>",TRUE,"RC","Yes","Engineers & Scientists of California, Local 20, International Federation of Professional and Technical Engineers (IFPTE), AFL-CIO, CLC",1,"IFPTE",0.615553121577218,"Yes",190
"32-RC-345855","Region 32, Oakland, California","The Good Samaritan Hospital, L.P.  D/B/A Good Samaritan Hospital",2024-07-08,2024-09-27,"San Jose","CA","A",2024-08-15,77,NA,"Engineers and Scientists of California Local 20, IFPTE (AFL-CIO & CLC)",61,NA,NA,NA,NA,1,62,NA,1,NA,"Engineers and Scientists of California Local 20, IFPTE (AFL-CIO & CLC)","Initial","Single Labor Organization","Certification of Results","Closed","All full-time, regular part-time, and per diem Physical Therapists, Occupational Therapists, Speech Language Pathologist/Therapists, Clinical Rehabilitation Specialists, Recreation Specialists, Physical Therapist/Assistants, and Occupational Therapist Assistants employed by Employer at the Employer’s 2425 Samaritan Dr., San Jose, CA 94124 or 15891 Los Gatos Almaden Road, Los Gators, CA 95032 facilities; Excluding all employees currently represented by a labor organization, all other employees including, but not limited to, Lead Clinical Rehabilitation Specialists, Supervisors of Rehabilitation Services, Supervisors of Rehabilitation Services Output, Managers of Rehabilitation Services, Directors Rehabilitation Services, Clinical Coordinators Care, Coordinators IRF/PAI PPS, and confidential employees, guards, managers, and supervisors as defined in the Act.",NA,NA,NA,38,2024-07-01,2024-07-01,"51-100",TRUE,"RC","Yes","Engineers and Scientists of California Local 20, IFPTE (AFL-CIO & CLC)",1,"IFPTE",0.983870967741935,"No",15
"32-RC-342462","Region 32, Oakland, California","Hayward Sisters Hospital, A California Corporation d/b/a St. Rose Hospital",2024-05-16,2024-06-13,"Hayward","CA","A",2024-06-05,10,NA,"Engineers and Scientists of California, International Federation of Professional and Technical Engineers (IFPTE) Local 20, AFL-CIO & CLC",5,NA,NA,NA,NA,0,5,NA,NA,NA,"Engineers and Scientists of California, International Federation of Professional and Technical Engineers (IFPTE) Local 20, AFL-CIO & CLC","Initial","Single Labor Organization","Certification of Results","Closed","All full-time, part-time and per diem pharmacists employed by the Employer in the pharmacy in its facility located at 27200 Calaroga Ave., Hayward, CA 94545; excluding all other employees, including employees represented by a labor organization, managerial employees, confidential employees, office clerical employees, guards, and supervisors as defined by the Act.

Also eligible to vote are all employees in the unit who have worked an average of four (4) hours or more per week during the 13 weeks immediately preceding the eligibility date for the election.",NA,NA,NA,20,2024-04-01,2024-04-01,"6-10",TRUE,"RC","Yes","Engineers and Scientists of California, International Federation of Professional and Technical Engineers (IFPTE) Local 20, AFL-CIO & CLC",1,"IFPTE",1,"No",5
"32-RD-335074","Region 32, Oakland, California","Sutter Bay Medical Foundation dba Palo Alto Medical Foundation",2024-02-05,2024-03-08,"Sunnyvale","CA","A",2024-02-29,26,NA,"Engineers and Scientists of California, Local 20 IFPTE",11,NA,NA,NA,NA,15,26,NA,NA,NA,NA,"Initial","Single Labor Organization","Certification of Results","Closed","All full-time and regular part-time Registered Nurses employed by the Employer in its infusion oncology department and other hematology departments at its facilities located at 301 Old San Francisco Road, Sunnyvale, CA and 701 E. El Camino Real, Mountain View, CA; excluding all other employees, Breast Health Navigators / Clinical Nurse Specialists, confidential employees, office clerical employees, guards, and supervisors as defined in the Act.

Also eligible to vote are all employees in the unit who have worked an average of four (4) hours or more per week during the 13 weeks immediately preceding the eligibility date for the election.",NA,NA,NA,24,2024-01-01,2024-01-01,"26-50",TRUE,"RD","Yes","Engineers and Scientists of California, Local 20 IFPTE",1,"IFPTE",0.423076923076923,"No",0
"32-RD-288728","Region 32, Oakland, California","Sutter Bay Medical Foundation dba Palo Alto Medical Foundation",2022-01-11,2022-04-01,"Emeryville","CA","A",2022-03-15,36,1,"Engineers and Scientists of California Local 20, International Federation of Professional and Technical Engineers",20,NA,NA,NA,NA,7,27,NA,4,NA,"Engineers and Scientists of California Local 20, International Federation of Professional and Technical Engineers","Initial","Single Labor Organization","Certific. of Representative","Closed","All full-time and regular part-time nurse practitioners and physician assistants employed by the Employer at the Employer’s facilities located at 26 Rancho Del Mar, Aptos, CA 95003; 2095 Diamond Blvd., Concord, CA 94520; 3918 Fallon Road, Dublin, CA 94568; 497 East Calaveras Blvd., Milpitas, CA 95035; 580 North Rengstorff Avenue, Suite E, Mountain View, CA 94043; 5800 Nave Drive, Suite F, Novato, CA 94949; 5095 Telegraph Avenue, Oakland, CA 94609; 411 North McDowell Blvd., Unit 41, Suite 10, Petaluma, CA 94954; 240 King Street, Suite G2, San Francisco, CA 94107; 685 Coleman Avenue, San Jose, CA 95110; 5343 Prospect Road, San Jose, CA 95129; 460 Market Place, San Ramon, CA 94583; 3912 Rivermark Plaza, Santa Clara, CA 95054; 2360 Mendocino Avenue, Suite A4, Santa Rosa, CA 95403; 2878 Ygnacio Valley Road, Walnut Creek, CA 94598 and 851 Cherry Ave., Suite 4, San Bruno, CA 94066 ; excluding all other employees, confidential employees, office clerical employees, guards, and supervisors as defined by the National Labor Relations Act.",NA,NA,NA,63,2022-01-01,2022-01-01,"26-50",TRUE,"RD","Yes","Engineers and Scientists of California Local 20, International Federation of Professional and Technical Engineers",1,"IFPTE",0.740740740740741,"Yes",9
"20-RC-271637","Region 20, San Francisco, California","Animal Legal Defense Fund",2021-01-21,2021-04-05,"Cotati","CA","A",2021-03-26,44,2,"Nonprofit Professional Employees Union, IFPTE Local 70",24,NA,NA,NA,NA,13,37,NA,5,NA,"Nonprofit Professional Employees Union, IFPTE Local 70","Initial","Single Labor Organization","Certific. of Representative","Closed","5.	UNIT AND ELIGIBLE VOTERS.  There will be two voting groups in the election.

VOTING GROUP - UNIT A (PROFESSIONAL UNIT):
All full-time and regular part-time Senior Pro Bono Managers, Pro Bono Research Analysts, Senior Policy Programs Managers, Education Programs Managers, Animal Legal Programs Fellows, Staff Attorneys, Litigation Fellows, CJP Fellows, Legislative Affairs Managers, Senior Legislative Affairs Managers (non-law clerk program), Senior Staff Attorneys CJP (non-supervisory) employed by the Employer; excluding, supervisors, managers, guards and all other employees, including but not limited to Managing Attorneys, Senior Staff Attorney – CJP (performing supervisory duties), Law Clerks, Litigation Program Admin. Managers, Campaigns Managers, Digital Media Managers, Direct Marketing Managers, Senior Accounting Managers, Events Managers, Processing Managers, IT Managers, Accounting Associates, Executive Administrators and Human Resources Managers.

Others permitted to vote in Voting Group A: The parties have agreed that Senior Student Programs Attorneys, Senior Staff Attorneys (Litigation Program), Senior Legislative Affairs Manager (Law Clerks Program) may vote in the election but their ballots will be challenged since their eligibility has not been resolved.  No decision has been made regarding whether the individuals in these classifications or groups are included in, or excluded from, the bargaining unit.  The eligibility or inclusion of these individuals will be resolved, if necessary, following the election.

VOTING GROUP - UNIT B (NON-PROFESSIONAL UNIT):
All full-time and regular part-time Database Analysts, Membership Services Associates, Processing Admin. Assistants, Operations Admin. Assistants, Events Associates, Project Managers, Philanthropy Managers, Development Associates, Grants Officers, Development Admin. Assistants, Social Media Specialists, Digital Media Specialists, Senior Graphics Designers, Communications Associates, Senior Writers, Public Relations Specialists, Paralegals, Litigation Program Admin. Assistants, Case Managers, employed by the Employer; excluding, supervisors, managers, guards and all other employees, including but not limited to Managing Attorneys, Senior Staff Attorney – CJP (performing supervisory duties), Law Clerks, Litigation Program Admin. Managers, Campaigns Managers, Digital Media Managers, Direct Marketing Managers, Senior Accounting Managers, Events Managers, Processing Managers, IT Managers, Accounting Associates, Executive Administrators and Human Resources Managers.",NA,NA,NA,64,2021-01-01,2021-01-01,"26-50",TRUE,"RC","Yes","Nonprofit Professional Employees Union, IFPTE Local 70",1,"IFPTE",0.648648648648649,"Yes",7
"21-RC-271675","Region 21, Los Angeles, California","Federal Defenders of San Diego Inc.",2021-01-21,2021-03-22,"San Diego","CA","A",2021-03-12,50,NA,"ENGINEERS AND SCIENTISTS OF CALIFORNIA, LOCAL 20, IFPTE, AFL-CIO/CLC",40,NA,NA,NA,NA,1,41,NA,NA,NA,"ENGINEERS AND SCIENTISTS OF CALIFORNIA, LOCAL 20, IFPTE, AFL-CIO/CLC","Initial","Single Labor Organization","Certific. of Representative","Closed","Included:  All full-time professional employees, including all public defenders, appellate attorneys and capital fellows, employed by the Employer at its facilities currently located at 225 Broadway, Suite 900, San Diego, California and 1699 West Main Street, Suite D, El Centro, California.

Excluded:  All other employees, non-professional employees, office clerical employees, managerial employees, confidential employees, guards, and supervisors as defined in the Act.",NA,NA,NA,50,2021-01-01,2021-01-01,"26-50",TRUE,"RC","Yes","ENGINEERS AND SCIENTISTS OF CALIFORNIA, LOCAL 20, IFPTE, AFL-CIO/CLC",1,"IFPTE",0.975609756097561,"Yes",9
"32-RD-271496","Region 32, Oakland, California","Sutter Bay Medical Foundation dba Palo Alto Medical Foundation",2021-01-16,2021-03-05,"Sunnyvale","CA","A",2021-02-25,30,NA,"ENGINEERS AND SCIENTISTS OF CALIFORNIA, LOCAL 20 IFPTE, AFL-CIO & CLC",17,NA,NA,NA,NA,12,29,NA,NA,NA,"ENGINEERS AND SCIENTISTS OF CALIFORNIA, LOCAL 20 IFPTE, AFL-CIO & CLC","Initial","Single Labor Organization","Certific. of Representative","Closed","All full-time and regular part-time Registered Nurses employed by the Employer in its infusion oncology department and other hematology departments at its facilities located at 301 Old San Francisco Road, Sunnyvale, CA and 701 E. El Camino Real, Mountain View, CA; excluding all other employees, Breast Health Navigators / Clinical Nurse Specialists, confidential employees, office clerical employees, guards, and supervisors as defined in the Act.

Also eligible to vote are all employees in the unit who have worked an average of four (4) hours or more per week during the 13 weeks immediately preceding the eligibility date for the election.",NA,NA,NA,40,2021-01-01,2021-01-01,"26-50",TRUE,"RD","Yes","ENGINEERS AND SCIENTISTS OF CALIFORNIA, LOCAL 20 IFPTE, AFL-CIO & CLC",1,"IFPTE",0.586206896551724,"Yes",1
"32-RC-268054","Region 32, Oakland, California","Sutter Bay Medical Foundation dba Palo Alto Medical Foundation",2020-10-23,2020-12-31,"Emeryville","CA","A",2020-12-23,34,NA,"ENGINEERS AND SCIENTISTS OF CALIFORNIA LOCAL 20, INTERNATIONAL FEDERATION OF PROFESSIONAL AND TECHNICAL ENGINEERS, AFL-CIO & CLC",25,NA,NA,NA,NA,7,32,NA,NA,NA,"ENGINEERS AND SCIENTISTS OF CALIFORNIA LOCAL 20, INTERNATIONAL FEDERATION OF PROFESSIONAL AND TECHNICAL ENGINEERS, AFL-CIO & CLC","Initial","Single Labor Organization","Certific. of Representative","Closed","All full-time and regular part-time nurse practitioners and physician assistants employed by the Employer at the Employer’s facilities located at 26 Rancho Del Mar, Aptos, CA 95003; 2095 Diamond Blvd., Concord, CA  94520; 3918 Fallon Road, Dublin, CA 94568; 497 East Calaveras Blvd., Milpitas, CA 95035; 580 North Rengstorff Avenue, Suite E Mountain View, CA 94043; 5800 Nave Drive, Suite F, Novato, CA 94949; 5095 Telegraph Avenue, Oakland, CA 94609; 411 North McDowell Blvd., Unit 41, Suite 10, Petaluma, CA 94954; 240 King Street, Suite G2, San Francisco, CA 94107; 685 Coleman Avenue, San Jose, CA 95110; 5343 Prospect Road, San Jose, CA 95129; 460 Market Place, San Ramon, CA 94583; 3912 Rivermark Plaza, Santa Clara, CA 95054; 2360 Mendocino Avenue, Suite A4, Santa Rosa, CA 95403; and 2878 Ygnacio Valley Road, Walnut Creek, CA 94598; excluding all other employees, confidential employees, office clerical employees, guards, and supervisors as defined by the National Labor Relations Act.",NA,NA,NA,61,2020-10-01,2020-10-01,"26-50",TRUE,"RC","Yes","ENGINEERS AND SCIENTISTS OF CALIFORNIA LOCAL 20, INTERNATIONAL FEDERATION OF PROFESSIONAL AND TECHNICAL ENGINEERS, AFL-CIO & CLC",1,"IFPTE",0.78125,"Yes",2
"20-RC-267723","Region 20, San Francisco, California","Pacific Gas and Electric Co.",2020-10-15,2020-12-22,"San Francisco","CA","A",2020-12-07,25,NA,"Engineers and Scientists of California, Local 20 IFPTE",16,NA,NA,NA,NA,4,20,NA,NA,NA,"Engineers and Scientists of California, Local 20 IFPTE","Initial","Single Labor Organization","Certification of Results","Closed","Voting Group Unit A (Professional Unit): 

Included: All full-time and regular part-time employees employed by the Employer at all of  its locations in the Employer’s Operations Systems Department in the following classifications: Associate Operations Systems Engineer; Career Operations Systems Engineer; Senior Operations Systems Engineer; Expert Operations Systems Engineer; Associate RAS Operations Engineer; Career RAS Operations Engineer; Senior RAS Operations Engineer; and Expert RAS Operations Engineer. 
 
Excluded: All employees employed by the Employer in the following classifications: Associate Business Performance Analyst; Career Business Performance Analyst; Senior Business Performance Analyst; Expert Business Performance Analyst; Principal Operations Systems Engineer; Principal RAS Operations Engineer; Principal Business System Specialist; all other classifications, managers, guards, and supervisors as defined in the Act.
 
Voting Group Unit B (Non-Professional Unit):
 
Included: All full-time and regular part-time employees employed by the Employer at all of its locations in the Employer’s Operations Systems Department in the following classifications: Associate Business System Specialist; Career Business System Specialist; Senior Business System Specialist; and Expert Business System Specialists.

Excluded: All employees employed by the Employer in the following classifications: Associate Business Performance Analyst; Career Business Performance Analyst; Senior Business Performance Analyst; Expert Business Performance Analyst; Principal Operations Systems Engineer; Principal RAS Operations Engineer; Principal Business System Specialist; all other classifications, managers, guards, and supervisors as defined in the Act.",NA,NA,NA,53,2020-10-01,2020-10-01,"11-25",TRUE,"RC","Yes","Engineers and Scientists of California, Local 20 IFPTE",1,"IFPTE",0.8,"No",5
"01-RC-263069","Region 01, Boston, Massachusetts","Scholars Strategy Network",2020-07-16,2020-09-21,"Cambridge","MA","A",2020-09-11,8,NA,"Nonprofit Professional Employees Union, International Federation of Professional and Technical Engineers Local 70",7,NA,NA,NA,NA,0,0,NA,NA,NA,"Nonprofit Professional Employees Union, International Federation of Professional and Technical Engineers Local 70","Initial","Single Labor Organization","Certific. of Representative","Closed","All full-time and regular part-time employees employed by the Employer at its 1035 Cambridge Street, Suite 14B, Cambridge, MA facility, including policy associates, reproductive health & rights associates, associate directors of communications, strategic communications associates, chief development officers,  associate directors of chapters, civic engagement managers, and sales force administrators, but excluding the Director of Policy, the Director of Chapters, Membership & Learning,the Director of Communications, office clerical employees, managers, guards, and supervisors as defined by the Act.",NA,NA,NA,57,2020-07-01,2020-07-01,"6-10",TRUE,"RC","Yes","Nonprofit Professional Employees Union, International Federation of Professional and Technical Engineers Local 70",1,"IFPTE",NA,"Yes",1
"20-RC-260942","Region 20, San Francisco, California","Pacific Gas and Electric Co.",2020-05-28,2020-08-17,"San Francisco","CA","A",2020-07-31,71,1,"Engineers & Scientists of California, Local 20 IFPTE, AFL-CIO, CLC",50,NA,NA,NA,NA,16,67,NA,1,NA,"Engineers & Scientists of California, Local 20 IFPTE, AFL-CIO, CLC","Initial","Single Labor Organization","Certification of Results","Closed","All full-time and regular part-time employees employed by the Employer at all its locations in the following classifications: contract administrator, contract specialist, and electric const
ruction specialist, excluding all other employees, guards, and supervisors as defined in the Act.",NA,NA,NA,64,2020-07-01,2020-04-01,"51-100",TRUE,"RC","Yes","Engineers & Scientists of California, Local 20 IFPTE, AFL-CIO, CLC",1,"IFPTE",0.757575757575758,"No",5
"20-RC-260340","Region 20, San Francisco, California","American Civil Liberties Union Foundation of Northern California",2020-05-13,2020-07-16,"San Francisco","CA","A",2020-07-01,73,NA,"Engineers & Scientists of California, Local 20 IFPTE, AFL-CIO, CLC",50,NA,NA,NA,NA,1,55,NA,4,NA,"Engineers & Scientists of California, Local 20 IFPTE, AFL-CIO, CLC","Initial","Single Labor Organization","Certific. of Representative","Closed","VOTING GROUP – UNIT A (Professional Unit):

Included: All full-time and regular part-time Legal-Policy Fellow, Legislative Attorney, Program Attorney, Senior Program Attorney, Senior Staff Attorney, and Staff Attorney. 
Excluded: All other employees, confidential employees, managers, guards and supervisors as defined in the Act.  

VOTING GROUP – UNIT B (Non-Professional Unit):

Included: All full-time and regular part-time Administrative Assistant, Associate Communications Strategist, Associate Director of Leadership Gifts, Associate/Attorney, Communications Associate, Communications Strategist, Creative Strategist, Digital Strategist, Donor Engagement Manager, Donor Services Specialist, Event Assistant, Finance Assistant, , Handyperson, Individual Giving Officer, Intake Manager, Investigator, Janitor, Leadership Development Manager, Leadership Gifts/Campaign Associate, Legal-Policy Assistant, Legislative Advocate, Legislative Assistant, Litigation Assistant, Operations Assistant, Operations Coordinator, Organizer, Organizing Program Associate, Policy & Legal Researcher, Policy Assistant, Program Coordinator, Program Manager, Receptionist, and Senior Research Assistant.
Excluded: All other employees, confidential employees, managers, guards and supervisors as defined in the Act.",NA,NA,NA,49,2020-07-01,2020-04-01,"51-100",TRUE,"RC","Yes","Engineers & Scientists of California, Local 20 IFPTE, AFL-CIO, CLC",1,"IFPTE",0.980392156862745,"Yes",22
"20-RC-260146","Region 20, San Francisco, California","Pacific Gas and Electric Company",2020-05-08,2020-07-10,"San Francisco","CA","A",2020-06-24,8,NA,"Engineers and Scientists of California, Local 20 IFPTE",6,NA,NA,NA,NA,1,7,NA,NA,NA,"Engineers and Scientists of California, Local 20 IFPTE","Initial","Single Labor Organization","Certification of Results","Closed","All full-time and regular part-time Contract Administrators, Technical Procurement Specialists, Associate Technical Procurement Specialists, Senior Technical Procurement Specialists, Expert Technical Procurement Specialists, and Contract Specialists employed by the Employer in its Project Execution – Contracts department within the Power Generation organization; excluding all other employees, guards, and supervisors as defined by the Act.",NA,NA,NA,47,2020-04-01,2020-04-01,"6-10",TRUE,"RC","Yes","Engineers and Scientists of California, Local 20 IFPTE",1,"IFPTE",0.857142857142857,"No",1
"21-RC-256928","Region 21, Los Angeles, California","Southern California Edison",2020-02-25,2020-05-14,"ROSEMEAD","CA","A",2020-05-05,858,13,"ENGINEERS AND SCIENTISTS OF CALIFORNIA LOCAL 20, INTERNATIONAL FEDERATION OF PROFESSIONAL AND TECHNICAL ENGINEERS, AFL-CIO & CLC",336,NA,NA,NA,NA,405,745,NA,4,NA,NA,"Initial","Single Labor Organization","Certification of Results","Closed","INCLUDED: All employees classified as Planning, Specs (Planner 1s); Planning, Assoc Spec - trainees (Planner 1 trainees); Planning, Sr Specs (Planner 2s); Planning, Sr Spec trainees (Planner 2 trainees); Planning, Advisor (Planner 3s); Tech Spec, Assoc Specs (Field Planning Technicians); Design/Drafting, Assoc Specs (Designer 1s); Design/Drafting, Specialists (Designer 2s) employed by the Employer in its Transmissions and Distributions department.

EXCLUDED: All other employees; in the Substation Construction and Maintenance department: Planning, Specs (Planner 1s), Planning, Assoc Spec - trainees (Planner 1 trainees), Planning, Sr Specs (Planner 2s), Planning, Sr Spec trainees (Planner 2 trainees), and Planning, Advisor (Planner 3s); in the Generation and Edison Carrier Solutions department: Planning, Specs (Planner 1s), Planning, Assoc Spec - trainees (Planner 1 trainees), Planning, Sr Specs (Planner 2s), Planning, Sr Spec trainees (Planner 2 trainees), and Planning, Advisor (Planner 3s); in the Engineering department: Design/Drafting, Assoc Specs (Designer 1s), Design/Drafting, Specialists (Designer 2s); Analysts; Administrative Aides; office clerical employees; professional employees; managerial employees; guards; and supervisors as defined in the Act.",NA,NA,NA,70,2020-04-01,2020-01-01,"500>",TRUE,"RC","Yes","ENGINEERS AND SCIENTISTS OF CALIFORNIA LOCAL 20, INTERNATIONAL FEDERATION OF PROFESSIONAL AND TECHNICAL ENGINEERS, AFL-CIO & CLC",1,"IFPTE",0.453441295546559,"No",117
"19-RD-254116","Region 19, Seattle, Washington","The Boeing Company",2020-01-03,2020-04-22,"Renton","WA","A",2020-04-14,27,NA,"Society of Professional Engineering Employees in Aerospace (SPEEA), IFPTE Local 2001",20,NA,NA,NA,NA,6,0,NA,NA,NA,"Society of Professional Engineering Employees in Aerospace (SPEEA), IFPTE Local 2001","Initial","Single Labor Organization","Certific. of Representative","Closed","All full-time and regular part-time pilots employed by the Employer in Instructor Pilot positions with flying duties and requiring a current FAA pilot certificate who are employed at and permanently assigned to the Longacres Training Center located at 1301 SW 16th Street, Renton, Washington, and all full-time and regular part-time standards pilots, safety pilots, technical pilots, and simulator-only pilots/instructors employed by the Employer who are permanently assigned to and work at or out of its Renton, Washington facilities; excluding pilots on Pilot Early Leave, BTE pilots, executive pilots, pilots located and working remotely outside the State of Washington, office clericals, all other employees, and guards and supervisors as defined in the Act.",NA,NA,NA,102,2020-04-01,2020-01-01,"26-50",TRUE,"RD","Yes","Society of Professional Engineering Employees in Aerospace (SPEEA), IFPTE Local 2001",1,"IFPTE",NA,"Yes",1
"32-RC-224295","Region 32, Oakland, California","Good Samaritan Hospital, L.P. d/b/a Good Samaritan Hospital",2018-07-24,2018-08-29,"San Jose","CA","A",2018-08-17,8,NA,"Engineers and Scientists of California, Local 20 IFPTE",6,NA,NA,NA,NA,0,6,NA,NA,NA,"Engineers and Scientists of California, Local 20 IFPTE","Initial","Single Labor Organization","Certific. of Representative","Closed","All full-time and regular part-time Clinical Dietitians employed by the Employer at its hospital facility located at 2425 Samaritan Drive, San Jose, California; excluding Directors, Managers, employees represented by a labor organization, confidential employees, office clerical employees, guards, and supervisors as defined in the Act.

Also eligible to vote are all employees in the unit who have worked an average of four (4) hours or more per week during the 13 weeks immediately preceding the eligibility date for the election.",NA,NA,NA,24,2018-07-01,2018-07-01,"6-10",TRUE,"RC","Yes","Engineers and Scientists of California, Local 20 IFPTE",1,"IFPTE",1,"Yes",2
