"Case","Region","Case_Name","Date_Filed","Date_Closed","City","State","Unit ID","Tally_Date","Num_Eligible_Voters","Void Ballots","Labor_Union","Votes_For_Union","Labor Union2","Votes for Labor Union2","Labor Union3","Votes for Labor Union3","Votes_Against","Total_Ballots_Counted","Runoff Required","Challenged Ballots","Challenges are Determinative","Union to Certify","Tally_Type","Ballot_Type","Reason_Closed","Status","Voting Unit (Unit A)","Voting Unit (Unit B)","Voting Unit (Unit C)","Voting Unit (Unit D)","Length","Tally_Quarter","Filed_Quarter","size","Unique","Case_Type","Election_Data","Plot_Labor_Union","National_Count","National","Margin","Union_Cer","Didnt_Vote"
"19-RM-389274","Region 19, Seattle, Washington","The Vancouver Symphony Orchestra",2026-06-22,NA,"Vancouver","WA",NA,NA,110,NA,"American Federation of Musicians Local 99",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Open",NA,NA,NA,NA,NA,NA,2026-04-01,"101-500",TRUE,"RM","No","American Federation of Musicians Local 99",1,"AFM",NA,"Still Open",NA
"20-RC-388094","Region 20, San Francisco, California","San Francisco Opera",2026-06-02,2026-08-04,"San Francisco","CA","A",2026-07-17,9,NA,"American Federation of Musicians Local 6",8,NA,NA,NA,NA,0,8,NA,1,NA,"American Federation of Musicians Local 6","Initial","Single Labor Organization","Certific. of Representative","Closed","All full-time and regular part-time Music Staff, Masters, Ballet Pianists, Assistant Conductors, and Prompters employed by the Employer out of its facility located at 301 Van Ness Avenue, San Francisco, California. Excluding all other employees, Adler Fellows, Directors of Music Administration, guards and supervisors as defined in the Act.",NA,NA,NA,45,2026-07-01,2026-04-01,"6-10",TRUE,"RC","Yes","American Federation of Musicians Local 6",1,"AFM",1,"Yes",1
"10-RC-376149","Region 10, Atlanta, Georgia","Atlanta Symphony Orchestra, A Division of the Robert W. Woodruff Arts Center, Inc.",2025-12-02,2026-03-03,"Atlanta","GA","A",2026-02-23,2,NA,"Atlanta Federation of Musicians, Local 148-462 of the American Federation of Musicians",2,NA,NA,NA,NA,0,2,NA,1,NA,"Atlanta Federation of Musicians, Local 148-462 of the American Federation of Musicians","Initial","Single Labor Organization","Certific. of Representative","Closed","Included: All full-time and regular part-time Librarians, including the Associate Principal Librarian and the Assistant Librarian, employed by Atlanta Symphony Orchestra, a Division of the Robert W. Woodruff Arts Center, Incorporated located in Atlanta, Georgia.

Excluded: All other employees, all employees who are employed by third party contractors, confidential employees, managerial employees, guards and supervisors as defined in the Act.

OTHERS PERMITTED TO VOTE: At this time, no decision has been made regarding whether the Principal Librarian is included in, or excluded from, the bargaining unit, and individuals in that classification may vote in the election but their ballot shall be challenged since their eligibility has not been determined. The eligibility or inclusion of the Principal Librarian classification will be resolved, if necessary, following the election.",NA,NA,NA,83,2026-01-01,2025-10-01,"<5",TRUE,"RC","Yes","Atlanta Federation of Musicians, Local 148-462 of the American Federation of Musicians",1,"AFM",1,"Yes",0
"31-RC-375458","Region 31, Los Angeles, California","Heart of Los Angeles Youth, Inc.",2025-11-24,2025-12-19,"Los Angeles","CA","A",2025-12-11,30,NA,"American Federation of Musicians Local 47",18,NA,NA,NA,NA,3,21,NA,5,NA,"American Federation of Musicians Local 47","Initial","Single Labor Organization","Certific. of Representative","Closed","INCLUDED: All regular part-time Teaching Artists in the Youth Orchestra Los Angeles program, employed by Heart of Los Angeles Youth, Inc.


EXCLUDED: All other employees, including managers, confidential employees, guards, and supervisors as defined by the National Labor Relations Act, as amended.",NA,NA,NA,17,2025-10-01,2025-10-01,"26-50",TRUE,"RC","Yes","American Federation of Musicians Local 47",1,"AFM",0.857142857142857,"Yes",9
"18-RC-373970","Region 18, Minneapolis, Minnesota","Milwaukee Symphony Orchestra Inc.",2025-09-24,2026-03-24,"Milwaukee","WI","A",2026-03-11,2,NA,"Milwaukee Musicians Association, Local 8 of the American Federation of Musicians of the United States and Canada",2,NA,NA,NA,NA,0,2,NA,NA,NA,"Milwaukee Musicians Association, Local 8 of the American Federation of Musicians of the United States and Canada","Initial","Revised Single Labor Org","Certification of Results","Closed","All full-time and regular part-time music librarians and media archivists employed by the Employer at its Milwaukee, Wisconsin facility, excluding all managerial employees and guards, and supervisors as defined by the Act, as amended.",NA,NA,NA,168,2026-01-01,2025-07-01,"<5",TRUE,"RC","Yes","Milwaukee Musicians Association, Local 8 of the American Federation of Musicians of the United States and Canada",1,"AFM",1,"No",0
"18-RC-373970","Region 18, Minneapolis, Minnesota","Milwaukee Symphony Orchestra Inc.",2025-09-24,2026-03-24,"Milwaukee","WI","A",2026-01-27,2,NA,"Milwaukee Musicians Association, Local 8 of the American Federation of Musicians of the United States and Canada",1,NA,NA,NA,NA,0,1,NA,1,"Y",NA,"Initial","Single Labor Organization","Certification of Results","Closed","All full-time and regular part-time music librarians and media archivists employed by the Employer at its Milwaukee, Wisconsin facility, excluding all managerial employees and guards, and supervisors as defined by the Act, as amended.",NA,NA,NA,125,2026-01-01,2025-07-01,"<5",FALSE,"RC","Yes","Milwaukee Musicians Association, Local 8 of the American Federation of Musicians of the United States and Canada",1,"AFM",1,"No",1
"01-RM-361923","Region 01, Boston, Massachusetts","Groton Hill Music, Inc.",2025-03-13,2025-05-01,"Groton","MA","A",2025-05-23,116,NA,"American Federation of Musicians, Local No. 173 a/w American Federation of Musicians of the United States and Canada, AFL-CIO, CLC",80,NA,NA,NA,NA,8,93,NA,5,NA,"American Federation of Musicians, Local No. 173 a/w American Federation of Musicians of the United States and Canada, AFL-CIO, CLC","Initial","Single Labor Organization","Certific. of Representative","Closed","Included:  All musicians and substitute musicians employed by the Employer to perform as the Vista Philharmonic Orchestra.
Excluded:  All office clerical employees, confidential employees, managers, guards, professional employees and supervisors as defined in the Act, and any other employee of the Employer when not engaged in performing as a musician or substitute musician for the Vista Philharmonic Orchestra.",NA,NA,NA,71,2025-04-01,2025-01-01,"101-500",TRUE,"RM","Yes","American Federation of Musicians, Local No. 173 a/w American Federation of Musicians of the United States and Canada, AFL-CIO, CLC",1,"AFM",0.909090909090909,"Yes",28
"02-RM-360674","Region 02, New York, New York","Hoff-Barthelson Music School",2025-02-21,2025-04-03,"Scarsdale","NY","A",2025-03-22,6,NA,"Associated Musicians of Greater New York, Local 802 AFM",4,NA,NA,NA,NA,1,5,NA,1,NA,"Associated Musicians of Greater New York, Local 802 AFM","Initial","Single Labor Organization","Certific. of Representative","Closed","Included: All full time and regular part time Accompanists employed by the Employer at 25 School Lane Scarsdale, NY 10583.

Excluded: All other employees including, confidential employees, guards, and managerial and supervisory employees as defined in the Act",NA,NA,NA,29,2025-01-01,2025-01-01,"6-10",TRUE,"RM","Yes","Associated Musicians of Greater New York, Local 802 AFM",1,"AFM",0.8,"Yes",1
"04-RC-356265","Region 04, Philadelphia, Pennsylvania","The Media Theatre for the Performing Arts",2024-12-09,2025-02-07,"Media","PA","A",2025-01-30,23,NA,"American Federation of Musicians Local 21",18,NA,NA,NA,NA,0,18,NA,3,NA,"American Federation of Musicians Local 21","Initial","Single Labor Organization","Certific. of Representative","Closed","Included: All instrumental musicians employed by the Employer who participate in The Broadway Series productions.

Excluded: All other employees, Music Directors, Assistant Music Directors, Youth Ensemble series musicians, audition accompanists, concert, workshop and fundraiser musicians, Music Arrangers, Music copyists, music teaching staff, private event musicians, rental agreement musicians outside of the Broadway Series, non-performing music staff, managers, guards, and supervisors as defined in the Act.",NA,NA,NA,52,2025-01-01,2024-10-01,"11-25",TRUE,"RC","Yes","American Federation of Musicians Local 21",1,"AFM",1,"Yes",5
"19-RC-350866","Region 19, Seattle, Washington","Rogue Valley Symphony Association",2024-09-18,2024-11-12,"Ashland","OR","A",2024-11-01,121,NA,"Musicians' Association, Local 689, American Federation of Musicians",63,NA,NA,NA,NA,20,83,NA,NA,NA,"Musicians' Association, Local 689, American Federation of Musicians","Initial","Single Labor Organization","Certific. of Representative","Closed","Included:     All orchestra musicians employed by the Employer.
	
Excluded: All other employees, office clerical employees, managerial employees, confidential employees, and guards and supervisors as defined in the Act.",NA,NA,NA,44,2024-10-01,2024-07-01,"101-500",TRUE,"RC","Yes","Musicians' Association, Local 689, American Federation of Musicians",1,"AFM",0.759036144578313,"Yes",38
"28-RC-344449","Region 28, Phoenix, Arizona","True Concord Voices and Orchestra, Inc.",2024-06-14,2026-07-08,"Tucson","AZ","A",2026-05-15,47,1,"Tucson Federation of Musicians, AFM, Local 33",31,NA,NA,NA,NA,6,37,NA,NA,NA,"Tucson Federation of Musicians, AFM, Local 33","Initial","Single Labor Organization","Certific. of Representative","Closed","Included:  All full-time and regular part-time orchestra musicians employed by the Employer out of its Tucson, Arizona facility.

Excluded:  All other employees, choral musicians, office clerical employees, professional employees, managerial employees, confidential employees, and guards and supervisors as defined in the Act.",NA,NA,NA,700,2026-04-01,2024-04-01,"26-50",TRUE,"RC","Yes","Tucson Federation of Musicians, AFM, Local 33",1,"AFM",0.837837837837838,"Yes",10
"08-RC-344013","Region 08, Cleveland, Ohio","The Cleveland Institute of Music",2024-06-06,2024-10-07,"Cleveland","OH","A",2024-09-26,132,NA,"Cleveland Federation of Musicians, AFM Local 4",56,NA,NA,NA,NA,25,81,NA,25,NA,"Cleveland Federation of Musicians, AFM Local 4","Initial","Single Labor Organization","Certific. of Representative","Closed","Included: All full-time and regular part-time faculty employees who are employed by The Cleveland 
Institute of Music at 11021 East Boulevard, Cleveland, Ohio 44106 who were employed during the pay period Thursday, May 30, 2024.

Excluded: All Deans, Associate Deans, Guest instructors and Guest conductors, non­ faculty 
professional employees, office clerical employees, casual employees, confidential employees, 
professional employees, managerial employees, guards and supervisors as defined by the National 
Labor Relations Act.

Others Permitted To Vote: The parties have agreed that the classifications of Directors and 
Division/Department Heads may vote in the election but their ballots will be challenged since their 
eligibility has not been resolved. No decision has been made regarding whether the individuals in 
these classifications or groups are included in, or excluded from, the bargaining unit. The 
eligibility or inclusion of these individuals will be resolved, if necessary, following the 
election.",NA,NA,NA,112,2024-07-01,2024-04-01,"101-500",TRUE,"RC","Yes","Cleveland Federation of Musicians, AFM Local 4",1,"AFM",0.691358024691358,"Yes",51
"27-RC-343315","Region 27, Denver, Colorado","Opera Idaho, Inc.",2024-05-30,2024-07-25,"Boise","ID","A",2024-07-17,44,3,"Greater Idaho Musicians' Association, Local 423 AFM affiliated with American Federation of Musicians of the United States and Canada, AFL-CIO, CLC",35,NA,NA,NA,NA,2,37,NA,NA,NA,"Greater Idaho Musicians' Association, Local 423 AFM affiliated with American Federation of Musicians of the United States and Canada, AFL-CIO, CLC","Initial","Single Labor Organization","Certific. of Representative","Closed","Included: All musicians employed by the Employer.

Excluded: office clerical employees,
managerial employees, confidential employees, guards, professional employees
and supervisors as defined in the Act, and all other employees.",NA,NA,NA,48,2024-07-01,2024-04-01,"26-50",TRUE,"RC","Yes","Greater Idaho Musicians' Association, Local 423 AFM affiliated with American Federation of Musicians of the United States and Canada, AFL-CIO, CLC",1,"AFM",0.945945945945946,"Yes",7
"19-RC-338129","Region 19, Seattle, Washington","Ethos, Inc. d/b/a Ethos Music Center",2024-03-18,2024-05-02,"Portland","OR","A",2024-04-24,34,NA,"American Federation of Musicians Local 99",14,NA,NA,NA,NA,9,23,NA,NA,NA,"American Federation of Musicians Local 99","Initial","Single Labor Organization","Certific. of Representative","Closed","Included: All full-time and regular part-time Music Lessons Instructors employed by the Employer at or out of its facility located at 2 N Killingsworth St, Portland, OR; 
Excluding: all Americorps Music Facilitators, Development Coordinators, Admissions Coordinators, Finance and Operations Specialists, Directors, Executive Directors, confidential employees, managers and guards and supervisors as defined in the Act.",NA,NA,NA,37,2024-04-01,2024-01-01,"26-50",TRUE,"RC","Yes","American Federation of Musicians Local 99",1,"AFM",0.608695652173913,"Yes",11
"10-RC-326056","Region 10, Atlanta, Georgia","Eastern Music Festival, Inc",2023-09-19,2023-11-28,"Greensboro","NC","A",2023-11-16,58,1,"American Federation of Musicians Local 342",36,NA,NA,NA,NA,4,40,NA,NA,NA,"American Federation of Musicians Local 342","Initial","Single Labor Organization","Certific. of Representative","Closed","Included: All instrumental musicians and librarians and musician faculty employed by Eastern Music Festival. 

Excluded: All other employees, orchestral fellows, conductors and guest musicians, Personnel Managers, Members of the EMF Board of Directors, office clerical, professional, managerial and confidential employees, guards and supervisors as defined in the Act.",NA,NA,NA,58,2023-10-01,2023-07-01,"51-100",TRUE,"RC","Yes","American Federation of Musicians Local 342",1,"AFM",0.9,"Yes",18
"27-RC-322782","Region 27, Denver, Colorado","Colorado Music Festival and Center for Musical Arts",2023-07-31,2023-10-11,"Boulder","CO","A",2023-09-29,67,3,"Denver Musicians Association, Local 20-623, affiliated with the American Federation of Musicians in the United States and Canada, AFL-CIO",53,NA,NA,NA,NA,1,54,NA,NA,NA,"Denver Musicians Association, Local 20-623, affiliated with the American Federation of Musicians in the United States and Canada, AFL-CIO","Initial","Single Labor Organization","Certific. of Representative","Closed","Included: All tenured musicians, probationary musicians, and librarians employed by the Employer. Excluded:  All guest musicians, extra, and substitute musicians, office clerical employees, professional employees, guards, and supervisors, as defined in the Act.",NA,NA,NA,60,2023-07-01,2023-07-01,"51-100",TRUE,"RC","Yes","Denver Musicians Association, Local 20-623, affiliated with the American Federation of Musicians in the United States and Canada, AFL-CIO",1,"AFM",0.981481481481482,"Yes",13
"25-RC-318917","Region 25, Indianapolis, Indiana","Rockford Symphony Orchestras, Inc.",2023-05-30,2023-07-31,"Rockford","IL","A",2023-07-21,142,3,"Chicago Federation of Musicians, Local 10-208 AFM",58,NA,NA,NA,NA,11,69,NA,NA,NA,"Chicago Federation of Musicians, Local 10-208 AFM","Initial","Single Labor Organization","Certific. of Representative","Closed","Included:  All musicians employed by the Employer from its 711 N Main Street, Rockford, Illinois location.
 
Excluded: All non-instrumental performers, guest solo performers, conductors, administrative employees, stage crew employees, production employees, box office employees, ushers, managerial employees, and guards and supervisors as defined in the Act.",NA,NA,NA,52,2023-07-01,2023-04-01,"101-500",TRUE,"RC","Yes","Chicago Federation of Musicians, Local 10-208 AFM",1,"AFM",0.840579710144927,"Yes",73
"01-RC-250848","Region 01, Boston, Massachusetts","New Bedford Symphony Orchestra Association, Inc.",2019-10-30,2019-12-18,"New Bedford","MA","A",2019-12-10,109,NA,"BOSTON MUSICIANS ASSOCIATION, A/W AMERICAN FEDERATION OF MUSICIANS LOCAL UNION NO. 9-535, AFL-CIO",61,NA,NA,NA,NA,9,70,NA,NA,NA,"BOSTON MUSICIANS ASSOCIATION, A/W AMERICAN FEDERATION OF MUSICIANS LOCAL UNION NO. 9-535, AFL-CIO","Initial","Single Labor Organization","Certific. of Representative","Closed","All musicians employed by the Employer, including substitute musicians, extra musicians, concert master, assistant concert master, and principal musicians; but excluding conductors, guest performers, office staff, managerial employees, confidential employees, guards and supervisors as defined by the Act.


The parties agree that in order to be eligible to vote employees must be contracted to work for the 2019-2020 season, or must have worked at least two concert cycles in the 2018-2019 season or two concert cycles in the 2019-2020 season immediately preceding and including the payroll period ending date.",NA,NA,NA,41,2019-10-01,2019-10-01,"101-500",TRUE,"RC","Yes","BOSTON MUSICIANS ASSOCIATION, A/W AMERICAN FEDERATION OF MUSICIANS LOCAL UNION NO. 9-535, AFL-CIO",1,"AFM",0.871428571428571,"Yes",39
"02-RC-244187","Region 02, New York, New York","Distinguished Concerts International, LLC",2019-07-01,2019-08-26,"New York","NY","A",2019-08-16,167,1,"Associated Musicians of Greater New York, Local 802 AFM",113,NA,NA,NA,NA,14,127,NA,3,NA,"Associated Musicians of Greater New York, Local 802 AFM","Initial","Single Labor Organization","Certific. of Representative","Closed","INCLUDED:  All playing musicians* employed by the Employer at and out of its facility located at 250 West 57th Street, Suite 1610, New York, NY.
EXCLUDED:  All other employees, including vocalists, guest artists, office clerical employees, and guards, and professional employees and supervisors as defined in the Act.",NA,NA,NA,46,2019-07-01,2019-07-01,"101-500",TRUE,"RC","Yes","Associated Musicians of Greater New York, Local 802 AFM",1,"AFM",0.889763779527559,"Yes",40
"13-RC-242259","Region 13, Chicago, Illinois","Porchlight Music Theatre Chicago",2019-05-28,2019-08-12,"Chicago","IL","A",2019-08-01,32,NA,"Chicago Federation of Musicians, Local 10-208 American Federation of Musicians (AFM)",20,NA,NA,NA,NA,0,20,NA,3,NA,"Chicago Federation of Musicians, Local 10-208 American Federation of Musicians (AFM)","Initial","Single Labor Organization","Certific. of Representative","Closed","Included: All musicians employed and paid by Porchlight Music Theatre Chicago (“Employer”) to play a musical instrument at a performance produced by the Employer. 

Excluded: Executive Director, Artistic Director, Audience Services Manager, Development Director, Institutional Advancement Director, Development Associate, Finance Manager, Finance Associate, Education Associate, Marketing Manager, House Manager, box office employees, ushers, Company & Casting Manager, Production Manager, Dramaturg, interns, Stage Manager, stage crew, designers, costume and wardrobe employees, lighting employees, electrical employees, props employees, sound employees, Director, Choreographer, non-instrumental stage performers, office clerical employees, managerial employees, and professional employees, guards, and supervisors as defined in the Act.",NA,NA,NA,65,2019-07-01,2019-04-01,"26-50",TRUE,"RC","Yes","Chicago Federation of Musicians, Local 10-208 American Federation of Musicians (AFM)",1,"AFM",1,"Yes",12
"01-RC-214164","Region 01, Boston, Massachusetts","The Boston Landmarks Orchestra, Inc.",2018-02-02,2018-03-29,"Boston","MA","A",2018-03-21,64,NA,"Boston Musicians' Association, AFM Local 9-535",41,NA,NA,NA,NA,5,46,NA,NA,NA,"Boston Musicians' Association, AFM Local 9-535","Initial","Single Labor Organization","Certific. of Representative","Closed","All musicians employed by the Employer at its Boston (New England) locations, including substitute musicians, extra musicians, concert masters, assistant concert masters, and principal musicians, but excluding artistic directors, music directors/conductors, conductors, assistant conductors, guest conductors, librarians, assistant librarians, copyists, arrangers/orchestrators, soloists, composers (including composers who perform in concerts featuring their work), rehearsal/audition pianists, vocal coaches, music playground instructors, choral singers, managers, guards, and supervisors as defined in the Act.",NA,NA,NA,47,2018-01-01,2018-01-01,"51-100",TRUE,"RC","Yes","Boston Musicians' Association, AFM Local 9-535",1,"AFM",0.891304347826087,"Yes",18
"19-RC-213553","Region 19, Seattle, Washington","Oregon Symphony Association",2018-01-24,2018-02-23,"Portland","OR","A",2018-02-15,3,NA,"American Federation of Musicians, Local 99",3,NA,NA,NA,NA,0,3,NA,NA,NA,"American Federation of Musicians, Local 99","Initial","Single Labor Organization","Certific. of Representative","Closed","All full-time and regular part-time music librarians employed by the Employer at or out of its Portland, Oregon concert hall; but excluding employees represented by other labor organizations, office clerical employees, and guards and supervisors as defined by the Act, and all other employees.",NA,NA,NA,22,2018-01-01,2018-01-01,"<5",TRUE,"RC","Yes","American Federation of Musicians, Local 99",1,"AFM",1,"Yes",0
"01-RC-188781","Region 01, Boston, Massachusetts","Cape Arts & Entertainment Inc.",2016-11-28,2017-01-19,"HYANNIS","MA","A",2017-01-11,91,NA,"Boston Musicians' Association, AFM Local 9-535",46,NA,NA,NA,NA,25,71,NA,7,NA,"Boston Musicians' Association, AFM Local 9-535","Initial","Single Labor Organization","Certific. of Representative","Closed","All musicians employed by the Employer at its Cape Cod, Massachusetts locations, including substitute musicians, extra musicians, concert master, assistant concert master, and principal musicians, but excluding the Artistic Director, volunteer musicians, guards, and supervisors as defined in the Act.",NA,NA,NA,44,2017-01-01,2016-10-01,"51-100",TRUE,"RC","Yes","Boston Musicians' Association, AFM Local 9-535",1,"AFM",0.647887323943662,"Yes",20
"01-RC-179597","Region 01, Boston, Massachusetts","FIDDLEHEAD THEATRE COMPANY, INC.",2016-07-07,2016-09-22,"Boston","MA","A",2016-09-14,57,NA,"BOSTON MUSICIANS' ASSOCIATION, LOCAL 9-535, A/W AMERICAN FEDERATION OF MUSICIANS",27,NA,NA,NA,NA,1,28,NA,NA,"Y","BOSTON MUSICIANS' ASSOCIATION, LOCAL 9-535, A/W AMERICAN FEDERATION OF MUSICIANS","Initial","Single Labor Organization","Certific. of Representative","Closed",NA,NA,NA,NA,69,2016-07-01,2016-07-01,"51-100",TRUE,"RC","Yes","BOSTON MUSICIANS' ASSOCIATION, LOCAL 9-535, A/W AMERICAN FEDERATION OF MUSICIANS",1,"AFM",0.964285714285714,"Yes",29
"01-RC-166997","Region 01, Boston, Massachusetts","THE WANG THEATRE, INC.  d/b/a  CITI PERFORMING ARTS CENTER",2016-01-05,2016-03-30,"Boston","MA","A",2016-03-22,16,1,"BOSTON MUSICIANS ASSOCIATION, A/W AMERICAN FEDERATION OF MUSICIANS LOCAL UNION NO. 9-535, AFL-CIO",9,NA,NA,NA,NA,0,9,NA,NA,NA,"BOSTON MUSICIANS ASSOCIATION, A/W AMERICAN FEDERATION OF MUSICIANS LOCAL UNION NO. 9-535, AFL-CIO","Initial","Single Labor Organization","Certific. of Representative","Closed",NA,NA,NA,NA,77,2016-01-01,2016-01-01,"11-25",TRUE,"RC","Yes","BOSTON MUSICIANS ASSOCIATION, A/W AMERICAN FEDERATION OF MUSICIANS LOCAL UNION NO. 9-535, AFL-CIO",1,"AFM",1,"Yes",7
"19-RC-159332","Region 19, Seattle, Washington","Oregon Symphony Association",2015-09-02,2015-10-15,"Portland","OR","A",2015-10-07,2,NA,"American Federation of Musicians, Local 99",0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,"Initial","Single Labor Organization","Certification of Results","Closed","Those eligible to vote in the election are all full-time and regular part-time music librarians employed by the Employer at or out of its Portland, Oregon concert hall, but excluding employees represented by other labor organizations, office clerical employees, guards and supervisors as defined by the Act, and all other employees.",NA,NA,NA,35,2015-10-01,2015-07-01,"<5",TRUE,"RC","Yes","American Federation of Musicians, Local 99",1,"AFM",NA,"No",2
"21-RC-117613","Region 21, Los Angeles, California","MUSICAL THEATRE WEST",2013-11-22,2014-05-06,"LONG BEACH","CA","A",2014-04-25,43,NA,"AMERICAN FEDERATION OF MUSICIANS LOCAL 47",11,NA,NA,NA,NA,16,29,NA,2,NA,NA,"Initial","Single Labor Organization","Certification of Results","Closed",NA,NA,NA,NA,154,2014-04-01,2013-10-01,"26-50",TRUE,"RC","Yes","AMERICAN FEDERATION OF MUSICIANS LOCAL 47",1,"AFM",0.407407407407407,"No",16
